3,52.4,-18
6,8.2,-15
9,26.3,-78
12,16.4,-208
3,29.8,85
6,1.9,14
9,1.6,-12
12,10.3,-144
3,-12.3,-8
6,-5.5,-46
9,-0.7,15
12,-25.5,-21
3,18.7,48
6,-3.9,7
9,6.8,14
12,5.2,13
3,4.7,16
6,2,20
9,2.9,11
12,-10.9,15
3,-1,15
6,1,-2
9,3.3,9
12,-5.1,-9
3,26.2,23
6,11.9,27
9,-3.7,6
12,-9.7,-20
3,17.5,5
6,11.5,4
9,-7.3,-36
12,-57.3,-187
3,-6.2,-40
6,13.6,32
9,4.3,9
12,-11.8,-39
3,4,20
6,-0.7,-5
9,-2.7,4
12,-14.2,-27
3,47.8,30
6,-2.7,6
9,-2.6,-33
12,-17.6,-41
3,5.1,10
6,-9.9,-29
9,-5.6,7
12,-20.2,-53
3,-3.5,-13
6,2.3,-25
9,-6.6,-12
12,-31.8,-71
3,-0.6,0
6,-1.9,1
9,-11.5,-17
12,-13.2,-44
3,11.6,5
6,-1.3,-11
9,-3.6,4
12,-5.8,-42
3,11.3,10
6,11.1,4
9,-5.4,-17
12,-18.1,-42
3,12.2,20
6,10.2,26
9,3.3,4
12,-13.8,-19
3,6.5,7
6,5.1,8
9,1.8,-2
12,-20.4,-53
3,2.8,3
6,12.8,1
9,5.1,-7
12,-11.1,-95
3,7.5,-4
6,20.4,8
9,21.2,18
12,-1.3,-29
3,27.5,80
6,20.1,31
9,7.6,18
