Risk,Return,Asset,Type,
17.94,11.72,Equity,Style,
17.93,24.68,Equity,Style,
17.92,9.26,Equity,Style,
17.9,19.69,Equity,Style,
17.9,10.94,Equity,Style,
17.89,20.37,Equity,Style,
17.86,16.73,Equity,Style,
17.76,14.49,Equity,Style,
17.73,21.43,Equity,Style,
17.71,9.58,Equity,Style,
17.68,14.33,Equity,Style,
17.68,10.3,Equity,Style,
17.66,12.59,Equity,Style,
17.66,10.38,Equity,Style,
17.66,16.28,Equity,Style,
17.65,13.77,Equity,Style,
17.65,10.55,Equity,Style,
17.65,15.01,Equity,Style,
17.64,13.93,Equity,Style,
17.64,39.36,Equity,Style,
17.63,11.13,Equity,Style,
17.63,16.59,Equity,Style,
17.62,19.68,Equity,Style,
17.6,10.15,Equity,Style,
17.59,13.59,Equity,Style,
17.57,14.6,Equity,Style,
17.57,13.46,Equity,Style,
17.56,11.21,Equity,Style,
17.55,11.27,Equity,Style,
17.54,9.03,Equity,Style,
17.52,17.86,Equity,Style,
17.5,10.33,Equity,Style,
17.48,22.89,Equity,Style,
17.47,11.64,Equity,Style,
17.46,9.34,Equity,Style,
17.45,10.18,Equity,Style,
17.41,19.81,Equity,Style,
17.39,15.28,Equity,Style,
17.39,9.39,Equity,Style,
17.36,9.81,Equity,Style,
17.35,9.91,Equity,Style,
17.35,15.21,Equity,Style,
17.34,9.99,Equity,Style,
17.33,15.04,Equity,Style,
17.32,9.61,Equity,Style,
17.32,9.58,Equity,Style,
17.31,18.21,Equity,Style,
17.31,8.66,Equity,Style,
17.3,6.73,Equity,Style,
17.3,17.4,Equity,Style,
17.27,20.79,Equity,Style,
17.25,16.05,Equity,Style,
17.24,11.4,Equity,Style,
17.24,10.6,Equity,Style,
17.23,9.38,Equity,Style,
17.22,27.17,Equity,Style,
17.19,11.5,Equity,Style,
17.18,13.96,Equity,Style,
17.17,9.55,Equity,Style,
17.17,10.82,Equity,Style,
17.16,8.8,Equity,Style,
17.15,19.33,Equity,Style,
17.13,60.53,Equity,Style,
17.11,10.52,Equity,Style,
17.07,32.88,Equity,Style,
17.06,7.75,Equity,Style,
17.05,12.1,Equity,Style,
17.02,17.26,Equity,Style,
17.01,17.59,Equity,Style,
17,12.04,Equity,Style,
17,18.46,Equity,Style,
17,11.73,Equity,Style,
16.98,4.9,Equity,Style,
16.97,30.61,Equity,Style,
16.95,12.79,Equity,Style,
16.93,6.97,Equity,Style,
16.92,10.23,Equity,Style,
16.9,11.05,Equity,Style,
16.9,23.43,Equity,Style,
16.9,10.01,Equity,Style,
16.89,9.81,Equity,Style,
16.88,15.13,Equity,Style,
16.87,10.29,Equity,Style,
16.86,31.64,Equity,Style,
16.81,32.14,Equity,Style,
16.8,16.47,Equity,Style,
16.8,11.73,Equity,Style,
16.79,15.21,Equity,Style,
16.78,25.61,Equity,Style,
16.78,14.21,Equity,Style,
16.76,6.36,Equity,Style,
16.75,27.11,Equity,Style,
16.74,15.27,Equity,Style,
16.74,10.88,Equity,Style,
16.73,4.41,Equity,Style,
16.73,12.24,Equity,Style,
16.73,13.62,Equity,Style,
16.73,16.41,Equity,Style,
16.73,17.24,Equity,Style,
16.72,13.11,Equity,Style,
16.71,15.34,Equity,Style,
16.69,16.39,Equity,Style,
16.68,14.03,Equity,Style,
16.67,12.51,Equity,Style,
16.66,0.48,Equity,Style,
16.66,29.27,Equity,Style,
16.65,13.25,Equity,Style,
16.65,10.58,Equity,Style,
16.64,15.01,Equity,Style,
16.62,15.82,Equity,Style,
16.62,29.15,Equity,Style,
16.61,27.87,Equity,Style,
16.6,9.26,Equity,Style,
16.58,13.58,Equity,Style,
16.58,14.18,Equity,Style,
16.56,16.99,Equity,Style,
16.56,13.05,Equity,Style,
16.55,16.43,Equity,Style,
16.54,8.15,Equity,Style,
16.53,12,Equity,Style,
16.52,10.45,Equity,Style,
16.51,11.47,Equity,Style,
16.5,10.7,Equity,Style,
16.49,12.37,Equity,Style,
16.47,13.48,Equity,Style,
16.47,32.41,Equity,Style,
16.46,10.8,Equity,Style,
16.45,18.98,Equity,Style,
16.42,10.15,Equity,Style,
16.4,4.21,Equity,Style,
16.4,14.16,Equity,Style,
16.38,5.35,Equity,Style,
16.38,14.37,Equity,Style,
16.38,30.82,Equity,Style,
16.37,2,Equity,Style,
16.36,17.57,Equity,Style,
16.35,43.79,Equity,Style,
16.34,33.73,Equity,Style,
16.33,31.16,Equity,Style,
16.33,9.98,Equity,Style,
16.32,34.03,Equity,Style,
16.31,27.82,Equity,Style,
16.29,17.54,Equity,Style,
16.29,29.43,Equity,Style,
16.28,9.86,Equity,Style,
16.26,31.85,Equity,Style,
16.26,22.08,Equity,Style,
16.25,29.59,Equity,Style,
16.23,16.61,Equity,Style,
16.19,-1.28,Equity,Style,
16.19,20.8,Equity,Style,
16.19,1.06,Equity,Style,
16.15,17.53,Equity,Style,
16.12,9.98,Equity,Style,
16.12,8.43,Equity,Style,
16.08,30.28,Equity,Style,
16.08,8.52,Equity,Style,
16.07,20.15,Equity,Style,
16.07,15.79,Equity,Style,
16.07,18,Equity,Style,
16.07,16.52,Equity,Style,
16.06,24.54,Equity,Style,
16.04,22.08,Equity,Style,
16.04,30.83,Equity,Style,
16.03,25,Equity,Style,
16.03,23.61,Equity,Style,
16.02,24.06,Equity,Style,
16,28.57,Equity,Style,
16,13.86,Equity,Style,
15.99,23.01,Equity,Style,
15.96,12.84,Equity,Style,
15.95,10.68,Equity,Style,
15.94,0.24,Equity,Style,
15.93,21.08,Equity,Style,
15.92,26.72,Equity,Style,
15.91,12.51,Equity,Style,
15.9,22.18,Equity,Style,
15.9,14.86,Equity,Style,
15.89,22.74,Equity,Style,
15.87,7.04,Equity,Style,
15.86,23.16,Equity,Style,
15.85,10.93,Equity,Style,
15.85,11.12,Equity,Style,
15.84,25.2,Equity,Style,
15.8,3.25,Equity,Style,
15.8,20.47,Equity,Style,
15.79,5.04,Equity,Style,
15.79,6.15,Equity,Style,
15.79,12.74,Equity,Style,
15.77,6.79,Equity,Style,
15.75,15.73,Equity,Style,
15.74,15.21,Equity,Style,
15.73,10.07,Equity,Style,
15.72,11.08,Equity,Style,
15.72,9.3,Equity,Style,
15.7,10.05,Equity,Style,
15.7,13.05,Equity,Style,
15.69,8.41,Equity,Style,
15.69,10.13,Equity,Style,
15.69,6.11,Equity,Style,
15.69,14.52,Equity,Style,
15.68,17.48,Equity,Style,
15.66,13.71,Equity,Style,
15.66,13.63,Equity,Style,
15.65,8.24,Equity,Style,
15.65,6.39,Equity,Style,
15.65,11.28,Equity,Style,
15.64,12.63,Equity,Style,
15.63,24.8,Equity,Style,
15.62,14.5,Equity,Style,
15.62,14.66,Equity,Style,
15.56,13.62,Equity,Style,
15.56,9.24,Equity,Style,
15.55,13.95,Equity,Style,
15.55,7.89,Equity,Style,
15.55,12.31,Equity,Style,
15.54,16.38,Equity,Style,
15.54,13.18,Equity,Style,
15.53,11.21,Equity,Style,
15.53,17.76,Equity,Style,
15.51,7.4,Equity,Style,
15.51,9.22,Equity,Style,
15.48,7.93,Equity,Style,
15.48,9.19,Equity,Style,
15.46,19.53,Equity,Style,
15.46,7.05,Equity,Style,
15.44,9.23,Equity,Style,
15.43,16.8,Equity,Style,
15.42,11.69,Equity,Style,
15.41,7.56,Equity,Style,
15.4,8.8,Equity,Style,
15.4,6.84,Equity,Style,
15.4,13.04,Equity,Style,
15.39,9.79,Equity,Style,
15.39,3.78,Equity,Style,
15.38,4.21,Equity,Style,
15.36,6.72,Equity,Style,
15.36,8.21,Equity,Style,
15.33,5.79,Equity,Style,
15.32,8.81,Equity,Style,
15.25,11.21,Equity,Style,
15.22,7.07,Equity,Style,
15.19,13.94,Equity,Style,
15.18,11.91,Equity,Style,
15.17,12.77,Equity,Style,
15.17,11.89,Equity,Style,
15.16,12.74,Equity,Style,
15.15,14.96,Equity,Style,
15.13,39.78,Equity,Style,
15.13,12.4,Equity,Style,
15.11,17.38,Equity,Style,
15.11,11.91,Equity,Style,
15.08,22.85,Equity,Style,
15.08,23.77,Equity,Style,
15.07,27.34,Equity,Style,
15.06,17.41,Equity,Style,
15.06,16.72,Equity,Style,
15.03,17.38,Equity,Style,
14.99,16.03,Equity,Style,
14.95,35.7,Equity,Style,
14.94,20.23,Equity,Style,
14.94,10.06,Equity,Style,
14.94,6.64,Equity,Style,
14.93,5.97,Equity,Style,
14.91,12.5,Equity,Style,
14.9,12.25,Equity,Style,
14.85,9.98,Equity,Style,
14.83,8.91,Equity,Style,
14.81,7.07,Equity,Style,
14.8,7.06,Equity,Style,
14.78,7.32,Equity,Style,
14.74,6.82,Equity,Style,
14.73,11.27,Equity,Style,
14.7,14.16,Equity,Style,
14.68,8.12,Equity,Style,
14.68,33.13,Equity,Style,
14.67,8.03,Equity,Style,
14.66,9.78,Equity,Style,
14.61,5.15,Equity,Style,
14.6,9.76,Equity,Style,
14.59,9.81,Equity,Style,
14.59,9.86,Equity,Style,
14.57,9.44,Equity,Style,
14.57,29.57,Equity,Style,
14.55,24.89,Equity,Style,
14.54,17.35,Equity,Style,
14.52,26.99,Equity,Style,
14.5,9.36,Equity,Style,
14.5,9.3,Equity,Style,
14.47,13.99,Equity,Style,
14.46,11.28,Equity,Style,
14.44,11.24,Equity,Style,
14.42,11.81,Equity,Style,
14.41,43.5,Equity,Style,
14.4,26.12,Equity,Style,
14.38,8.76,Equity,Style,
14.34,7.83,Equity,Style,
14.33,9.55,Equity,Style,
14.32,11.31,Equity,Style,
14.32,13.02,Equity,Style,
14.32,10.79,Equity,Style,
14.23,10.58,Equity,Style,
14.22,10.58,Equity,Style,
14.2,10.51,Equity,Style,
14.17,36.14,Equity,Style,
14.16,12.26,Equity,Style,
14.15,10.6,Equity,Style,
14.15,38.37,Equity,Style,
14.13,-1.67,Equity,Style,
14.12,12.16,Equity,Style,
14.12,24.4,Equity,Style,
14.11,15.25,Equity,Style,
14.09,14.86,Equity,Style,
14.03,12.07,Equity,Style,
14.01,27.41,Equity,Style,
14.01,12.73,Equity,Style,
13.97,29,Equity,Style,
13.97,10.95,Equity,Style,
13.96,36.63,Equity,Style,
13.96,8.13,Equity,Style,
13.94,9.67,Equity,Style,
13.94,23.91,Equity,Style,
13.94,12.66,Equity,Style,
13.94,12.36,Equity,Style,
13.93,11.44,Equity,Style,
13.93,13.7,Equity,Style,
13.93,26.54,Equity,Style,
13.9,12.46,Equity,Style,
13.9,11.61,Equity,Style,
13.9,18.74,Equity,Style,
13.89,15.12,Equity,Style,
13.88,12.59,Equity,Style,
13.88,11.04,Equity,Style,
13.87,10.92,Equity,Style,
13.87,9.22,Equity,Style,
13.87,10.3,Equity,Style,
13.86,8.35,Equity,Style,
13.86,8.63,Equity,Style,
13.8,8.54,Equity,Style,
13.8,9.41,Equity,Style,
13.8,8.9,Equity,Style,
13.79,11.45,Equity,Style,
13.77,28.85,Equity,Style,
13.77,19.72,Equity,Style,
13.76,18,Equity,Style,
13.76,13.22,Equity,Style,
13.75,17.57,Equity,Style,
13.75,11.34,Equity,Style,
13.74,43.23,Equity,Style,
13.74,12.09,Equity,Style,
13.72,18.29,Equity,Style,
13.7,13.44,Equity,Style,
13.67,47.72,Equity,Style,
13.67,11.6,Equity,Style,
13.67,11.96,Equity,Style,
13.67,15.44,Equity,Style,
13.66,14.49,Equity,Style,
13.65,14.25,Equity,Style,
13.64,12.27,Equity,Style,
13.64,12.05,Equity,Style,
13.63,11.06,Equity,Style,
13.62,0.5,Equity,Style,
13.61,9.87,Equity,Style,
13.6,12.93,Equity,Style,
13.58,14.99,Equity,Style,
13.57,12.83,Equity,Style,
13.57,46.49,Equity,Style,
13.53,16.03,Equity,Style,
13.5,10.48,Equity,Style,
13.5,11.12,Equity,Style,
13.49,10.56,Equity,Style,
13.48,3.38,Equity,Style,
13.48,5.99,Equity,Style,
13.45,11.7,Equity,Style,
13.45,41.38,Equity,Style,
13.42,10.92,Equity,Style,
13.41,39.96,Equity,Style,
13.38,11.01,Equity,Style,
13.38,9.77,Equity,Style,
13.37,9.99,Equity,Style,
13.37,10.76,Equity,Style,
13.36,31.78,Equity,Style,
13.34,12.73,Equity,Style,
13.33,13.62,Equity,Style,
13.33,9.67,Equity,Style,
13.31,8.56,Equity,Style,
13.3,10.64,Equity,Style,
13.28,12.16,Equity,Style,
13.27,13.43,Equity,Style,
13.27,8.49,Equity,Style,
13.27,9.13,Equity,Style,
13.27,8.22,Equity,Style,
13.26,53.17,Equity,Style,
13.24,9.28,Equity,Style,
13.22,9.15,Equity,Style,
13.22,11.6,Equity,Style,
13.2,20.18,Equity,Style,
13.2,8.86,Equity,Style,
13.2,6.18,Equity,Style,
13.2,5.9,Equity,Style,
13.16,12.28,Equity,Style,
13.16,27.79,Equity,Style,
13.15,12.1,Equity,Style,
13.12,15.84,Equity,Style,
13.1,11.78,Equity,Style,
13.1,20.01,Equity,Style,
13.07,12.67,Equity,Style,
13.07,12.04,Equity,Style,
13.06,12.07,Equity,Style,
13.03,13.79,Equity,Style,
12.98,14.28,Equity,Style,
12.98,51.63,Equity,Style,
12.97,10.86,Equity,Style,
12.94,13.97,Equity,Style,
12.92,10.83,Equity,Style,
12.91,15.01,Equity,Style,
12.89,12.38,Equity,Style,
12.86,8.47,Equity,Style,
12.86,9.06,Equity,Style,
12.86,10.02,Equity,Style,
12.86,8.16,Equity,Style,
12.84,12.78,Equity,Style,
12.84,9,Equity,Style,
12.82,10.48,Equity,Style,
12.81,37.53,Equity,Style,
12.8,18.04,Equity,Style,
12.79,19.09,Equity,Style,
12.78,46.36,Equity,Style,
12.78,13.97,Equity,Style,
12.77,10.2,Equity,Style,
12.76,5.92,Equity,Style,
12.74,19.27,Equity,Style,
12.72,27.19,Equity,Style,
12.7,11.74,Equity,Style,
12.68,10.91,Equity,Style,
12.64,16.42,Equity,Style,
12.64,22.17,Equity,Style,
12.64,19.96,Equity,Style,
12.62,10.88,Equity,Style,
12.61,18.18,Equity,Style,
12.6,13.86,Equity,Style,
12.59,15.05,Equity,Style,
12.57,14.48,Equity,Style,
12.53,25.62,Equity,Style,
12.53,9.01,Equity,Style,
12.53,-17.1,Equity,Style,
12.5,9.4,Equity,Style,
12.5,8.11,Equity,Style,
12.49,8.08,Equity,Style,
12.48,20.76,Equity,Style,
12.46,11.24,Equity,Style,
12.44,8.44,Equity,Style,
12.43,11.54,Equity,Style,
12.43,7.72,Equity,Style,
12.41,2.35,Equity,Style,
12.39,14.3,Equity,Style,
12.39,14.82,Equity,Style,
12.38,14.31,Equity,Style,
12.35,9.23,Equity,Style,
12.32,11.53,Equity,Style,
12.32,32.76,Equity,Style,
12.31,14.25,Equity,Style,
12.3,9.22,Equity,Style,
12.26,18.88,Equity,Style,
12.25,8.19,Equity,Style,
12.24,3.2,Equity,Style,
12.23,13.16,Equity,Style,
12.22,9.94,Equity,Style,
12.19,28.86,Equity,Style,
12.18,11.36,Equity,Style,
12.17,9.89,Equity,Style,
12.17,10.01,Equity,Style,
12.15,9.86,Equity,Style,
12.1,6.71,Equity,Style,
12.09,9.91,Equity,Style,
12.07,9.85,Equity,Style,
12.05,9.91,Equity,Style,
12.05,25.76,Equity,Style,
12.03,16.83,Equity,Style,
12.03,23.23,Equity,Style,
12.02,10.75,Equity,Style,
12.01,32.93,Equity,Style,
12,23.47,Equity,Style,
12,16.36,Equity,Style,
11.99,9.81,Equity,Style,
11.98,12.18,Equity,Style,
11.97,23.65,Equity,Style,
11.96,18.69,Equity,Style,
11.96,23.97,Equity,Style,
11.96,13.75,Equity,Style,
11.95,14.77,Equity,Style,
11.93,14.79,Equity,Style,
11.93,22.09,Equity,Style,
11.92,10.04,Equity,Style,
11.91,23.47,Equity,Style,
11.9,11.65,Equity,Style,
11.89,16.32,Equity,Style,
11.88,10.36,Equity,Style,
11.87,12.26,Equity,Style,
11.85,6.86,Equity,Style,
11.85,16.87,Equity,Style,
11.85,11.24,Equity,Style,
11.8,30.04,Equity,Style,
11.8,25.97,Equity,Style,
11.75,12.52,Equity,Style,
11.73,8.68,Equity,Style,
11.71,11.91,Equity,Style,
11.71,12.82,Equity,Style,
11.69,16.89,Equity,Style,
11.68,27.78,Equity,Style,
11.67,15.63,Equity,Style,
11.63,21.62,Equity,Style,
11.63,30.7,Equity,Style,
11.62,7.84,Equity,Style,
11.57,6.79,Equity,Style,
11.56,13.15,Equity,Style,
11.53,9.02,Equity,Style,
11.52,6.92,Equity,Style,
11.51,13.56,Equity,Style,
11.51,16.15,Equity,Style,
11.51,11.32,Equity,Style,
11.47,21.59,Equity,Style,
11.44,13.65,Equity,Style,
11.44,17.91,Equity,Style,
11.43,14.09,Equity,Style,
11.42,12.99,Equity,Style,
11.42,13.46,Equity,Style,
11.39,8.47,Equity,Style,
11.39,17.53,Equity,Style,
11.38,11.78,Equity,Style,
11.35,35.15,Equity,Style,
11.32,11.01,Equity,Style,
11.32,31.82,Equity,Style,
11.31,14.2,Equity,Style,
11.29,6.63,Equity,Style,
11.28,1.3,Equity,Style,
11.28,31.9,Equity,Style,
11.27,22.92,Equity,Style,
11.21,21.53,Equity,Style,
11.12,11.21,Equity,Style,
11.12,28.96,Equity,Style,
11.1,23.68,Equity,Style,
11.1,25.74,Equity,Style,
11.08,31.59,Equity,Style,
11.06,12.6,Equity,Style,
11.06,32.61,Equity,Style,
11.04,12.74,Equity,Style,
11.03,12.15,Equity,Style,
11.03,16.52,Equity,Style,
10.93,13.98,Equity,Style,
10.92,10.36,Equity,Style,
10.91,9.91,Equity,Style,
10.9,6.91,Equity,Style,
10.9,5.36,Equity,Style,
10.84,7.31,Equity,Style,
10.84,10.93,Equity,Style,
10.83,9.41,Equity,Style,
10.82,5.6,Equity,Style,
10.81,13.18,Equity,Style,
10.8,16.9,Equity,Style,
10.77,19.06,Equity,Style,
24.37,27.33,Equity,Theme,
24.37,20.32,Equity,Theme,
24.36,10.24,Equity,Theme,
24.34,1.74,Equity,Theme,
24.3,3.23,Equity,Theme,
24.29,20.95,Equity,Theme,
24.29,30.67,Equity,Theme,
24.28,14.83,Equity,Theme,
21.92,46.27,Equity,Theme,
21.89,12.65,Equity,Theme,
21.88,25.97,Equity,Theme,
19.78,-17.4,Equity,Theme,
19.78,13.76,Equity,Theme,
19.76,9.99,Equity,Theme,
19.75,7.46,Equity,Theme,
19.73,5.44,Equity,Theme,
19.71,6.28,Equity,Theme,
19.71,9.39,Equity,Theme,
19.7,6.66,Equity,Theme,
19.69,29.59,Equity,Theme,
19.68,15.96,Equity,Theme,
19.66,57.85,Equity,Theme,
19.63,28.02,Equity,Theme,
19.63,24.15,Equity,Theme,
19.61,15.36,Equity,Theme,
19.58,29.22,Equity,Theme,
19.56,13.4,Equity,Theme,
19.56,15.46,Equity,Theme,
19.55,10.13,Equity,Theme,
19.54,8.16,Equity,Theme,
19.52,10.58,Equity,Theme,
19.51,1.2,Equity,Theme,
19.51,51.78,Equity,Theme,
19.49,46.04,Equity,Theme,
19.49,30.27,Equity,Theme,
19.46,44.19,Equity,Theme,
19.45,6.12,Equity,Theme,
19.45,7.82,Equity,Theme,
2.15,16.01,Fixed Income,High Yield,
2.13,8.67,Fixed Income,High Yield,
2.13,0.05,Fixed Income,IG,Corporate
2.11,-0.08,Fixed Income,IG,Corporate
2.09,0.35,Fixed Income,IG,Corporate
2.06,-0.96,Fixed Income,IG,Corporate
2.06,0.61,Fixed Income,IG,Corporate
2.05,1.35,Fixed Income,IG,Corporate
2.04,0.31,Fixed Income,IG,Corporate
2.04,0.7,Fixed Income,IG,Corporate
2.03,6.33,Fixed Income,IG,Corporate
2.02,-0.34,Fixed Income,IG,Corporate
2,3.86,Fixed Income,IG,Corporate
5.42,1.48,Fixed Income,Country,
5.41,2.18,Fixed Income,Country,
5.41,0.34,Fixed Income,Country,
5.39,-0.05,Fixed Income,Country,
4.28,0.81,Fixed Income,Country,
4.26,1.04,Fixed Income,Country,
4.24,0.53,Fixed Income,Country,
4.24,0.06,Fixed Income,Country,
4.23,9.35,Fixed Income,Country,
4.22,1.59,Fixed Income,Country,
4.22,0.76,Fixed Income,Country,
4.21,-0.08,Fixed Income,Country,
4.18,0.28,Fixed Income,Country,
4.18,-1.88,Fixed Income,Country,
4.16,0.81,Fixed Income,Country,
4.16,-1.28,Fixed Income,Country,
4.16,2.62,Fixed Income,Country,
4.13,0.83,Fixed Income,Country,
4.12,0.39,Fixed Income,Country,
4.05,-1.61,Fixed Income,Country,
4.04,1.62,Fixed Income,Country,
4.01,1.83,Fixed Income,Country,
4.01,1.2,Fixed Income,Country,
4,0.71,Fixed Income,Country,
4,0.27,Fixed Income,Country,
3.99,1.76,Fixed Income,Country,
3.97,2.4,Fixed Income,Country,
3.93,0.58,Fixed Income,Country,
3.91,0.87,Fixed Income,Country,
3.91,-1.11,Fixed Income,Country,
3.91,1.29,Fixed Income,Country,
3.89,0.79,Fixed Income,Country,
3.89,0.84,Fixed Income,Country,
3.87,0.17,Fixed Income,Country,
3.84,2.48,Fixed Income,Country,
3.84,0.49,Fixed Income,Country,
3.83,-2.63,Fixed Income,Country,
3.82,-2.48,Fixed Income,Country,
3.81,-0.01,Fixed Income,Country,
3.8,0.24,Fixed Income,Country,
3.8,-0.01,Fixed Income,Country,
3.8,1.21,Fixed Income,Country,
3.78,1.43,Fixed Income,Country,
3.77,0.97,Fixed Income,Country,
3.77,2.56,Fixed Income,Country,
3.76,-2.58,Fixed Income,Country,
3.76,0.6,Fixed Income,Country,
3.74,0.21,Fixed Income,Country,
3.73,0.65,Fixed Income,Country,
3.71,0.48,Fixed Income,Country,
3.71,-0.86,Fixed Income,Country,
3.7,-0.28,Fixed Income,Country,
3.67,0.1,Fixed Income,Country,
3.66,0.13,Fixed Income,Country,
3.64,-0.05,Fixed Income,Country,
3.64,0.11,Fixed Income,Country,
3.63,0.26,Fixed Income,Country,
3.62,0.33,Fixed Income,Country,
3.62,0.11,Fixed Income,Country,
3.61,-0.08,Fixed Income,Country,
3.59,3.16,Fixed Income,Country,
3.58,0.48,Fixed Income,Country,
3.58,1.21,Fixed Income,Country,
3.55,0.23,Fixed Income,Country,
3.53,-0.67,Fixed Income,Country,
3.48,-0.02,Fixed Income,Country,
1.99,0.78,Fixed Income,Country,
1.98,-0.76,Fixed Income,Country,
1.96,1.45,Fixed Income,Country,
1.58,2.41,Fixed Income,Country,
1.02,1.11,Fixed Income,Country,
1.01,0.19,Fixed Income,Country,
0.94,2.64,Fixed Income,Country,
0.92,0.66,Fixed Income,Country,
0.91,-4.18,Fixed Income,Country,
0.89,-1.13,Fixed Income,Country,
0.87,0.05,Fixed Income,Country,
0.85,2.06,Fixed Income,Country,
0.84,1.21,Fixed Income,Country,
0.84,0.93,Fixed Income,Country,
0.78,1.81,Fixed Income,Country,
0.77,1.26,Fixed Income,Country,
0.77,-4.76,Fixed Income,Country,
0.72,-3.37,Fixed Income,Country,
0.7,-2.51,Fixed Income,Country,
0.69,-4.1,Fixed Income,Country,
0.65,-1.82,Fixed Income,Country,
0.6,-5.23,Fixed Income,Country,
0.59,8.04,Fixed Income,Country,
0.58,4.42,Fixed Income,Country,
0.57,3.91,Fixed Income,Country,
0.53,3.48,Fixed Income,Country,
0.53,3.92,Fixed Income,Country,
0.51,-5.09,Fixed Income,Country,
0.48,2.99,Fixed Income,Country,
0.44,-7.72,Fixed Income,Country,
0.43,-3.24,Fixed Income,Country,
0.39,-1.08,Fixed Income,Country,
0.36,0.17,Fixed Income,Country,
0.34,0.39,Fixed Income,Country,
0.3,-1.01,Fixed Income,Country,
0.28,0.14,Fixed Income,Country,
0.24,0.19,Fixed Income,Country,
0.22,-0.53,Fixed Income,Country,
0.22,-0.01,Fixed Income,Country,
0.21,0.01,Fixed Income,Country,
0.18,0.06,Fixed Income,Country,
0.15,-0.53,Fixed Income,Country,
0.15,-0.03,Fixed Income,Country,
0.13,-0.08,Fixed Income,Country,
0.09,0,Fixed Income,Country,
0.05,1.31,Fixed Income,Country,
0.01,3.26,Fixed Income,Country,
3.45,0.9,Fixed Income,High Yield,
3.44,0.01,Fixed Income,High Yield,
3.43,-3.71,Fixed Income,High Yield,
3.42,-0.48,Fixed Income,High Yield,
3.41,-0.62,Fixed Income,High Yield,
3.41,0.93,Fixed Income,High Yield,
3.4,-2.81,Fixed Income,High Yield,
3.4,2.38,Fixed Income,High Yield,
3.38,2.65,Fixed Income,High Yield,
3.37,-1.19,Fixed Income,High Yield,
3.36,-1.41,Fixed Income,High Yield,
3.35,-0.14,Fixed Income,High Yield,
3.34,0.74,Fixed Income,High Yield,
3.33,0.25,Fixed Income,High Yield,
3.33,0.19,Fixed Income,High Yield,
3.32,3.6,Fixed Income,High Yield,
3.31,0.44,Fixed Income,High Yield,
3.31,0.69,Fixed Income,High Yield,
3.3,-0.51,Fixed Income,High Yield,
3.29,0.47,Fixed Income,High Yield,
3.29,0.77,Fixed Income,High Yield,
3.25,4.43,Fixed Income,High Yield,
3.24,-0.27,Fixed Income,High Yield,
3.23,0.23,Fixed Income,High Yield,
3.22,1.1,Fixed Income,High Yield,
3.21,0,Fixed Income,High Yield,
3.21,1.26,Fixed Income,High Yield,
3.19,-1.44,Fixed Income,High Yield,
3.17,-2.65,Fixed Income,High Yield,
3.15,-0.9,Fixed Income,High Yield,
3.15,-0.49,Fixed Income,High Yield,
3.14,1.22,Fixed Income,High Yield,
3.14,0.14,Fixed Income,High Yield,
3.14,3.21,Fixed Income,High Yield,
3.13,-0.3,Fixed Income,High Yield,
3.11,-1.02,Fixed Income,High Yield,
3.1,0.21,Fixed Income,High Yield,
3.09,-0.93,Fixed Income,High Yield,
3.08,-0.04,Fixed Income,High Yield,
3.08,-0.38,Fixed Income,High Yield,
3.07,-1.28,Fixed Income,High Yield,
3.07,-0.92,Fixed Income,High Yield,
1.65,0.97,Fixed Income,High Yield,
1.64,1.64,Fixed Income,High Yield,
1.6,-0.06,Fixed Income,High Yield,
3.46,0.65,Fixed Income,IG,Corporate
3.44,1.69,Fixed Income,IG,Corporate
3.44,-2.95,Fixed Income,IG,Corporate
3.43,-2.83,Fixed Income,IG,Corporate
3.06,-0.02,Fixed Income,IG,Corporate
3.06,0.83,Fixed Income,IG,Corporate
3.04,2.21,Fixed Income,IG,Corporate
3.03,-0.77,Fixed Income,IG,Corporate
3.01,1.34,Fixed Income,IG,Corporate
2.98,2.63,Fixed Income,IG,Corporate
2.96,2.23,Fixed Income,IG,Corporate
2.96,1.43,Fixed Income,IG,Corporate
2.93,2.78,Fixed Income,IG,Corporate
2.93,-0.9,Fixed Income,IG,Corporate
2.92,4.52,Fixed Income,IG,Corporate
2.87,1.41,Fixed Income,IG,Corporate
2.86,3.24,Fixed Income,IG,Corporate
2.85,1.84,Fixed Income,IG,Corporate
2.85,-0.15,Fixed Income,IG,Corporate
2.84,1.59,Fixed Income,IG,Corporate
2.82,1.29,Fixed Income,IG,Corporate
2.78,1.23,Fixed Income,IG,Corporate
2.77,2.55,Fixed Income,IG,Corporate
2.75,1.08,Fixed Income,IG,Corporate
2.74,6.78,Fixed Income,IG,Corporate
2.73,-1.49,Fixed Income,IG,Corporate
2.72,0.65,Fixed Income,IG,Corporate
2.72,-2.18,Fixed Income,IG,Corporate
2.7,-2.88,Fixed Income,IG,Corporate
2.69,-2.4,Fixed Income,IG,Corporate
2.69,-3.9,Fixed Income,IG,Corporate
2.68,0.6,Fixed Income,IG,Corporate
2.66,3.19,Fixed Income,IG,Corporate
2.65,3.38,Fixed Income,IG,Corporate
2.62,1.91,Fixed Income,IG,Corporate
2.61,2.14,Fixed Income,IG,Corporate
2.6,4.72,Fixed Income,IG,Corporate
2.6,4.1,Fixed Income,IG,Corporate
2.59,2.34,Fixed Income,IG,Corporate
2.58,1.47,Fixed Income,IG,Corporate
