STD,Type
-32.14,Consensus
-28.59,Consensus
-27.07,Consensus
-25.92,Consensus
-24.32,Consensus
-23.70,Consensus
-23.31,Consensus
-23.22,Consensus
-22.06,Consensus
-21.30,Consensus
-21.28,Consensus
-20.77,Consensus
-19.71,Consensus
-19.20,Consensus
-18.73,Consensus
-18.44,Consensus
-18.31,Consensus
-17.50,Consensus
-17.15,Consensus
-16.71,Consensus
-16.40,Consensus
-16.02,Consensus
-16.00,Consensus
-15.91,Consensus
-15.21,Consensus
-14.94,Consensus
-14.93,Consensus
-14.68,Consensus
-13.97,Consensus
-13.92,Consensus
-13.80,Consensus
-13.20,Consensus
-13.05,Consensus
-11.40,Consensus
-10.65,Consensus
-9.38,Consensus
-8.44,Consensus
-8.32,Consensus
-8.15,Consensus
-7.75,Consensus
-7.70,Consensus
-7.05,Consensus
-6.81,Consensus
-6.43,Consensus
-6.18,Consensus
-6.04,Consensus
-5.92,Consensus
-5.72,Consensus
-5.24,Consensus
-5.21,Consensus
-4.48,Consensus
-4.17,Consensus
-3.90,Consensus
-3.89,Consensus
-3.59,Consensus
-3.41,Consensus
-3.32,Consensus
-2.92,Consensus
-2.74,Consensus
-2.61,Consensus
-2.59,Consensus
-2.06,Consensus
-2.02,Consensus
-1.95,Consensus
-1.59,Consensus
-1.47,Consensus
-1.42,Consensus
-1.37,Consensus
-1.30,Consensus
-0.95,Consensus
-0.79,Consensus
-0.58,Consensus
-0.55,Consensus
-0.45,Consensus
-0.39,Consensus
-0.38,Consensus
-0.07,Consensus
0.09,Consensus
0.32,Consensus
0.86,Consensus
1.32,Consensus
1.46,Consensus
1.49,Consensus
1.62,Consensus
2.36,Consensus
2.92,Consensus
3.63,Consensus
3.64,Consensus
3.82,Consensus
3.85,Consensus
4.06,Consensus
4.63,Consensus
4.68,Consensus
5.45,Consensus
5.82,Consensus
5.84,Consensus
6.78,Consensus
6.80,Consensus
7.13,Consensus
7.24,Consensus
7.49,Consensus
8.14,Consensus
9.05,Consensus
9.34,Consensus
10.00,Consensus
12.89,Consensus
13.70,Consensus
16.08,Consensus
18.79,Consensus
19.80,Consensus
