OP Growth,Return,Year
-8.85,-14.37,2012
59.29,-14.48,2019
-3.86,-14.53,2008
-109.74,-14.61,2012
37.68,-14.7,2012
10.21,-14.88,2013
266.76,-14.94,2008
-34.64,-14.96,2012
-7.32,-14.99,2011
-11.12,-15.07,2011
82.27,-15.13,2013
141.09,-15.21,2014
-7.76,-15.29,2012
56.95,-15.32,2008
-21.99,-15.34,2011
-24.64,-15.35,2013
-132.45,-15.4,2011
292.35,-15.5,2011
-125.56,-15.58,2014
8.44,-15.62,2014
-153.49,-15.62,2008
26.94,-15.73,2019
2.84,-15.97,2011
2.09,-16.01,2019
-50.64,-16.05,2008
-3.4,-16.06,2008
143.55,-16.14,2019
10.96,-16.15,2008
-3.11,-16.17,2006
13.49,-16.21,2012
-39.77,-16.31,2011
-4.39,-16.33,2006
-96.49,-16.42,2006
13.85,-16.44,2003
15.03,-16.47,2008
484.12,-16.48,2008
-7.46,-16.78,2006
-12.44,-16.79,2003
30.94,-16.81,2011
21.75,-16.84,2014
3.42,-16.91,2019
50.99,-17.01,2006
94.95,-17.29,2008
-23.68,-17.29,2003
-15.72,-17.41,2012
68.81,-17.58,2012
-52.39,-17.62,2012
53.69,-17.7,2019
-8.91,-17.7,2012
10.35,-17.82,2014
0.09,-17.88,2006
87.36,-17.9,2011
197.6,-17.96,2008
-39.42,-18.09,2019
-36.7,-18.18,2005
201.01,-18.29,2011
1.77,-18.31,2019
-4.39,-18.36,2006
302.16,-18.39,2012
7.1,-18.44,2011
8.12,-18.69,2019
61.57,-18.71,2006
-19.91,-18.88,2008
261.27,-18.89,2008
52.46,-18.92,2003
-363.31,-18.92,2019
-31.02,-18.93,2006
161.08,-19.11,2008
1.2,-19.12,2011
-51.47,-19.13,2019
-69.53,-19.15,2003
22.7,-19.18,2006
-1.09,-19.2,2011
-77.94,-19.3,2011
-25.06,-19.34,2011
-16.46,-19.37,2006
21.58,-19.44,2008
479.39,-19.61,2011
-57.88,-19.63,2005
-55.99,-19.68,2005
22.7,-19.89,2006
134.88,-19.91,2011
93.13,-19.92,2012
19.3,-19.92,2011
12.92,-20,2014
-11.39,-20.04,2019
258.75,-20.08,2014
-123.95,-20.12,2019
-24.12,-20.17,2014
9.6,-20.23,2011
18.03,-20.25,2006
-39.24,-20.26,2019
-111.32,-20.27,2013
82.07,-20.28,2008
-0.76,-20.28,2014
-66.99,-20.33,2011
-50.55,-20.42,2006
49.44,-20.49,2019
-48.63,-20.5,2006
14.04,-20.51,2019
-129.64,-20.52,2019
12.7,-20.6,2011
8.86,-20.65,2011
101.51,-20.76,2008
-69.95,-21.07,2011
19.33,-21.08,2011
-4.36,-21.19,2011
-19.25,-21.26,2006
-43.35,-21.32,2006
-57.49,-21.33,2006
-6.65,-21.37,2011
-14.94,-21.47,2011
-17.81,-21.48,2013
2.25,-21.5,2008
10.49,-21.75,2012
-59.81,-21.76,2006
-244.62,-21.76,2013
-53.29,-21.84,2003
-6.26,-21.89,2019
157.33,-21.9,2012
-15.83,-21.97,2011
2271.62,-22.15,2008
67.11,-22.15,2008
34.46,-22.18,2011
679.25,-22.22,2006
-59.03,-22.22,2008
3.46,-22.25,2014
-15.14,-22.35,2014
-27.7,-22.52,2012
183.16,-22.53,2011
36.66,-22.53,2019
-119.03,-22.54,2008
44.99,-22.64,2008
-11.98,-22.68,2019
34.08,-22.73,2003
6.92,-22.78,2008
-14.87,-22.86,2014
0.72,-22.92,2011
-20.82,-22.97,2011
-77.24,-23,2006
26.79,-23.13,2011
14.93,-23.14,2008
58.73,-23.16,2008
-80.33,-23.25,2008
-14.44,-23.31,2008
-10.47,-23.43,2006
106.18,-23.57,2011
40.78,-23.74,2008
-11.48,-23.75,2006
-9.14,-23.83,2014
11.13,-23.86,2012
-25.8,-24.04,2012
17.01,-24.13,2011
2.08,-24.17,2019
10.94,-24.3,2012
-22.6,-24.39,2006
-160.26,-24.47,2019
42.53,-25,2006
10.37,-25.08,2008
200.18,-25.2,2008
-48.57,-25.24,2012
-4.29,-25.29,2012
-782.98,-25.35,2008
39.29,-25.38,2011
-57.62,-25.41,2012
19.7,-25.49,2008
-18.46,-25.55,2019
-23.66,-25.71,2019
-74.59,-25.73,2019
45.45,-25.81,2014
3.22,-25.81,2014
-75.11,-25.83,2013
248.53,-25.87,2008
-60.3,-25.93,2013
-80.31,-25.95,2012
-26.7,-26.04,2006
97.83,-26.09,2019
-103.26,-26.12,2006
-153.01,-26.14,2006
-25.3,-26.17,2019
12.29,-26.22,2019
92.25,-26.42,2014
41.99,-26.42,2011
-21.77,-26.44,2011
44.31,-26.46,2008
-27.79,-26.51,2011
106.48,-26.62,2006
-20.85,-26.73,2011
-25.84,-26.9,2006
57.55,-26.91,2006
22.4,-27,2008
-32.69,-27.04,2008
3.99,-27.06,2019
-39.07,-27.06,2011
-2.61,-27.22,2012
-13.59,-27.43,2013
6.28,-27.47,2013
16.87,-27.53,2008
38.91,-27.64,2008
-40.71,-27.74,2012
-21.48,-27.79,2012
9.03,-27.8,2011
8.12,-28.07,2006
-439.91,-28.12,2019
6.77,-28.22,2011
-4.82,-28.32,2014
-8.15,-28.32,2008
-26.47,-28.43,2012
13.79,-28.45,2011
0.56,-28.54,2014
-88.17,-28.54,2006
20.24,-28.57,2008
-24.83,-28.64,2011
54.34,-28.66,2003
-3.12,-28.71,2003
-43.38,-28.75,2008
38.04,-28.95,2011
-3.9,-29.02,2006
-36.05,-29.02,2011
-45.54,-29.25,2012
14.72,-29.38,2011
-2.53,-29.41,2013
-3689.99,-29.46,2006
-179.42,-29.57,2014
157.57,-29.67,2011
8.35,-29.72,2011
277.68,-29.74,2011
-56.13,-29.92,2006
4.76,-29.97,2008
-24.09,-29.97,2011
-42.86,-30.07,2014
-40.69,-30.14,2019
-24.6,-30.28,2014
53.18,-30.33,2008
-3.25,-30.48,2008
-53.67,-30.5,2019
-26.19,-30.6,2006
8.59,-30.64,2014
66.93,-30.66,2008
-5.21,-30.73,2006
9.57,-30.85,2008
19.01,-30.86,2008
0.36,-30.89,2006
168.8,-31.01,2008
-16.78,-31.05,2011
5.91,-31.42,2005
-18.54,-31.45,2008
-5.79,-31.48,2006
-21.33,-31.55,2011
-11.97,-31.61,2008
-47.67,-31.72,2008
26.75,-31.87,2019
23.16,-31.95,2008
473.5,-31.97,2008
-40.42,-32.13,2012
-6.23,-32.25,2008
-6.9,-32.27,2003
11.64,-32.28,2011
-30.87,-32.38,2008
-42.48,-32.43,2006
413.97,-32.67,2011
85.78,-32.87,2011
-268.4,-32.96,2014
-17.01,-32.98,2019
48.13,-33,2006
-247.53,-33.05,2005
12.12,-33.15,2011
-131.36,-33.17,2012
-41.09,-33.23,2011
26.91,-33.33,2011
-16.19,-33.33,2006
-44.76,-33.36,2012
45.9,-33.48,2011
8.89,-33.61,2008
50.77,-33.76,2013
-37.99,-33.76,2019
54.94,-33.91,2008
-40.51,-33.95,2019
-78.78,-34.11,2011
87.19,-34.23,2008
12.54,-34.32,2008
-19.74,-34.35,2019
20.41,-34.64,2012
63.95,-34.7,2008
-41.77,-34.79,2011
-149.05,-34.89,2011
7.32,-35.07,2008
961.36,-35.15,2008
-314.22,-35.16,2006
42.26,-35.26,2008
3.29,-35.26,2006
177.53,-35.3,2006
18.03,-35.34,2011
-56.26,-35.65,2011
225.17,-35.71,2008
8.97,-35.73,2013
-20.78,-36.05,2012
-35.42,-36.09,2008
154.81,-36.12,2008
-7.14,-36.17,2019
29.44,-36.25,2011
129.48,-36.36,2008
28.33,-36.48,2006
12.2,-36.54,2008
7.93,-36.7,2011
667.17,-36.78,2008
-22.91,-37.14,2006
1.14,-37.45,2008
-53.44,-37.5,2011
42.15,-37.59,2003
-37.86,-37.72,2012
0.16,-37.79,2012
-248.78,-37.79,2014
-20.58,-37.9,2014
18.91,-37.91,2011
9.32,-38.08,2012
-0.17,-38.25,2011
-65.16,-38.25,2011
82.3,-38.31,2006
1.82,-38.39,2008
-25.81,-38.41,2006
59.38,-38.54,2019
44.21,-38.73,2008
42.71,-38.88,2012
18.62,-38.91,2008
-43.93,-38.98,2011
130.32,-39.05,2008
-24.62,-39.05,2011
12.33,-39.09,2008
-9.91,-39.23,2008
168.13,-39.26,2008
184.7,-39.53,2008
-44.7,-39.63,2008
-81.16,-39.68,2008
-524.27,-40.03,2011
-102.1,-40.33,2012
183.81,-40.35,2011
23.44,-40.44,2011
-72.91,-40.63,2003
81.95,-40.67,2008
30.38,-40.68,2006
-10.21,-40.86,2008
-61.4,-40.97,2011
67.89,-41,2008
-96.4,-41.01,2012
-13.35,-41.41,2006
200.02,-41.42,2008
2.94,-41.42,2011
-9.45,-41.42,2013
-28.15,-41.6,2011
-88.77,-41.63,2011
-24.31,-41.75,2019
-226.44,-41.98,2006
-21.19,-41.99,2011
-1327.13,-42.03,2006
271.63,-42.11,2005
27.2,-42.5,2008
-22.17,-42.64,2011
-35.89,-42.75,2008
109.1,-42.89,2008
-24.36,-43.18,2008
-11.23,-43.24,2008
129.35,-43.43,2008
89.03,-43.57,2008
54.23,-43.78,2008
-6.12,-43.98,2008
24.86,-44.49,2008
13.61,-44.51,2008
-33.96,-44.51,2003
-18.15,-44.71,2008
-23.3,-44.71,2008
-43.64,-44.81,2006
3.55,-44.83,2008
37.55,-44.86,2008
-70.81,-45.24,2014
-376.43,-45.26,2019
-12.67,-45.37,2008
-31.34,-45.42,2011
-8.07,-45.45,2008
136.78,-45.87,2008
-43.61,-45.88,2008
75.23,-46.01,2008
196.38,-46.23,2008
-4.72,-46.64,2008
2.3,-46.71,2014
10.21,-46.72,2008
73.86,-46.78,2019
-12.81,-46.83,2008
-121.84,-46.9,2011
-2.93,-46.94,2008
-12.88,-47.33,2011
7.6,-47.72,2008
-5.22,-48.1,2008
149.31,-48.29,2008
10888.66,-49.09,2003
2.22,-49.15,2008
-112.96,-49.34,2006
-15.65,-49.81,2008
-32.48,-50,2011
-64.1,-50.05,2003
60.78,-50.08,2008
5.12,-50.39,2008
27.1,-50.42,2008
-108.83,-50.52,2008
62.96,-50.59,2011
-543.19,-50.67,2014
-73.03,-50.93,2011
-36.27,-51,2008
5.42,-51.08,2006
-8.9,-51.31,2008
28.6,-51.34,2008
25.39,-51.34,2008
-39.49,-51.52,2008
-74.69,-51.61,2008
-31.8,-51.74,2008
-38.02,-51.94,2008
-103.48,-52.2,2019
-51.87,-52.27,2008
-47.36,-52.37,2008
102.36,-52.41,2008
32.06,-52.43,2008
30.36,-53.1,2011
55.32,-53.21,2008
1214.65,-53.4,2008
-40.93,-53.53,2011
18.25,-53.62,2008
-87.9,-53.7,2008
-39.47,-53.72,2008
-9.28,-54.08,2008
45.55,-54.52,2008
10.95,-54.92,2008
-34.29,-55.2,2011
-13.73,-55.43,2008
3.06,-55.97,2008
416.7,-56.23,2011
-54.34,-56.28,2014
-39.8,-56.29,2011
-23.95,-56.31,2008
-28.8,-56.34,2008
24.18,-56.45,2008
-3.14,-56.91,2008
30.84,-57.3,2008
13.95,-57.37,2008
12.49,-57.37,2008
-42.42,-57.5,2008
21.94,-57.58,2008
130.91,-57.63,2008
-17.09,-57.77,2008
-77.37,-57.85,2013
-34.53,-57.87,2008
-43.78,-58.02,2008
402.48,-58.11,2008
-54.18,-58.17,2008
234.05,-58.4,2008
30.57,-58.42,2008
-481.79,-58.77,2008
-162.45,-58.81,2012
52.02,-58.94,2008
0.84,-59.11,2008
-8.31,-59.13,2008
-88.64,-59.53,2008
62.66,-60,2008
-76.88,-60.18,2008
-18.22,-60.31,2008
-12.51,-60.58,2008
-323.76,-60.84,2014
0.2,-60.95,2011
-52.16,-61.31,2008
36.27,-61.63,2008
196.35,-62.21,2008
32.86,-62.58,2008
-79.69,-62.68,2008
31.09,-62.72,2008
7.21,-62.82,2008
-1.64,-62.93,2008
-47.62,-63.18,2008
50.24,-63.72,2008
23.67,-63.88,2008
-28.68,-64.05,2008
-18.81,-64.54,2008
-111.35,-64.61,2011
-16.48,-65.29,2008
-142.7,-65.57,2008
-28.67,-65.94,2008
197.75,-65.97,2008
117.33,-66.06,2012
-38.76,-66.08,2008
-11.66,-66.31,2008
-62.7,-67.34,2008
-68.92,-67.6,2008
44.51,-67.93,2008
-22.83,-68.01,2008
-168.6,-68.23,2011
-33.88,-68.3,2008
61.14,-68.56,2008
-9.23,-69.06,2008
93.71,-69.24,2008
-49.9,-69.54,2008
-57.56,-69.64,2008
30.64,-69.81,2008
-124.91,-70.15,2008
109.38,-70.25,2008
-102.75,-71.61,2008
73.07,-72.81,2008
-48.53,-72.96,2008
-9.85,-73.49,2008
-824.29,-74.18,2008
-59.98,-75.1,2008
7.55,-75.14,2008
91.42,-75.27,2008
29.14,-75.43,2008
-40.11,-76.03,2008
-12.78,-76.35,2008
268.03,-76.55,2008
17.27,-77.21,2008
-57.42,-77.42,2011
-404.73,-84.52,2008
2.39,-84.79,2008

