OP Growth,Return,Year
-24,68.8,2006
-28.41,68.77,2012
-10.12,68.42,2005
7.16,68.09,2005
112.52,67.87,2006
98.16,67.41,2005
-13.52,67.35,2006
42.94,67.28,2006
171.92,66.81,2014
45.63,66.68,2005
153.81,66,2005
-56.57,65.88,2003
25.44,65.05,2011
406.53,64.66,2005
112.39,63.95,2005
767.11,63.85,2006
263.3,63.74,2011
147.48,63.67,2006
1.2,63.45,2013
18.54,62.93,2005
-25.4,62.72,2003
-66.85,62.63,2006
-20.34,62.6,2005
50.75,62.5,2005
30.34,62.3,2011
-35.73,62.28,2003
62.26,62.16,2006
1371.18,62.07,2006
-9.83,61.6,2019
-13.04,61.59,2013
-11.62,61.5,2012
153.14,61.36,2014
17.76,61.1,2006
-15.95,61.02,2005
69.23,60.92,2005
2220.32,60.75,2013
11.68,60.73,2006
-57.05,60.47,2003
61.37,60.42,2013
31.61,60.38,2005
15.4,60.29,2012
-52.23,60.29,2005
283.91,60.28,2005
100.06,59.75,2013
72.98,59.69,2011
200.55,59.03,2006
29.87,58.78,2006
45.31,58.24,2012
-74.53,58.24,2012
684.73,58.2,2019
100.14,58.18,2006
9.3,57.42,2012
431.35,57.07,2011
5.91,57.06,2005
10.45,56.96,2005
-95.06,56.91,2005
5.98,56.84,2014
24.67,56.79,2006
-31.08,56.46,2012
52.15,56.27,2011
-0.41,55.74,2003
21.18,55.71,2005
-1.45,55.22,2003
-21.07,55.19,2005
2.41,54.8,2008
-7.62,54.69,2003
-3.79,54.44,2005
118.33,53.86,2003
-3.32,53.72,2013
-49.97,53.63,2003
169.32,53.39,2003
-23.84,53.2,2014
4.82,53.15,2003
-32.72,52.97,2006
124.16,52.91,2012
23.46,52.87,2019
14.36,52.79,2005
35.26,52.6,2011
435.71,52.48,2005
40.01,52.47,2013
16.3,52.04,2005
328.77,51.99,2012
77.1,51.82,2003
162.36,51.75,2006
-2.75,51.61,2005
-77.85,51.58,2005
57.63,51.42,2011
-25.15,51.31,2013
6.5,51.3,2003
-15.72,51.2,2005
10.52,50.82,2005
49.82,50.77,2006
0.12,50.69,2003
52.18,50.58,2006
170.35,50.41,2006
4.63,50.37,2011
954.53,49.53,2006
486.06,49.47,2013
110.68,49.12,2019
41.73,48.33,2006
9.32,48.1,2014
16.83,48.05,2003
-7517.44,47.88,2005
20.99,47.82,2012
281.34,47.8,2005
70.88,47.71,2006
31.15,47.6,2005
-116.66,47.5,2005
-15.45,47.48,2011
29.14,47.09,2012
39.14,46.93,2011
15.6,46.56,2013
0.1,46.51,2005
37.04,46.46,2014
-30.11,46.42,2006
-0.53,46.41,2014
72.3,46.34,2011
-30.44,46.28,2005
17.21,46.2,2014
18.93,45.96,2019
-29,45.56,2005
0.77,45.44,2014
-13.82,45.16,2012
1891.3,45,2005
-35.46,44.99,2003
50.18,44.91,2003
16.04,44.88,2006
294.57,44.84,2006
28.21,44.7,2013
236.58,44.64,2014
184.22,44.48,2014
16.02,44.06,2011
90.46,44.02,2005
52.1,43.96,2013
24.21,43.76,2013
-8.69,43.63,2003
275,43.56,2011
-22.03,43.02,2003
-54.94,42.93,2005
-6.2,42.79,2006
-1.72,42.71,2006
21.88,42.68,2003
2,42.67,2003
47.22,42.54,2006
-10.58,42.52,2011
316.91,42.34,2013
87.99,42.18,2013
63.12,42.03,2006
22.58,41.9,2006
58.08,41.89,2003
48.18,41.83,2011
80.51,41.5,2011
7.31,41.36,2006
-23.19,41.36,2003
-36.78,41.33,2019
103.83,41.23,2012
-4.03,41.18,2011
-28,41.14,2014
13.22,41.13,2006
6.93,41.07,2005
28.18,41.01,2013
22.12,41,2005
62.36,40.82,2011
35.46,40.78,2005
41.03,40.65,2005
165.42,40.3,2011
57.71,40.2,2003
-258.93,40.16,2013
7.3,40.12,2006
22.08,40.03,2012
-89.55,39.94,2005
-28.33,39.88,2003
35.34,39.76,2011
1.99,39.71,2005
17.15,39.68,2006
5.73,39.64,2005
-11.59,39.55,2006
46.21,39.51,2006
-21.36,39.47,2005
49.67,39.44,2005
-24.8,39.31,2005
-28.43,39,2006
12.05,38.74,2011
542.73,38.71,2003
-3.1,38.62,2003
151.17,38.38,2013
-16.9,38.18,2005
66.27,38.14,2003
63.3,38.1,2011
66.9,37.94,2003
153.32,37.91,2003
19.89,37.86,2006
4.38,37.86,2006
47.13,37.85,2019
-14.11,37.85,2005
12.33,37.8,2003
18.45,37.61,2006
83.18,37.44,2014
8.05,37.14,2003
58.82,37.04,2005
1.3,36.84,2003
14.26,36.82,2011
-97.57,36.81,2006
21.38,36.69,2005
24.31,36.29,2005
-19.67,36.22,2005
23.44,36.07,2012
25.26,35.84,2014
-2.96,35.78,2005
148.77,35.74,2013
-39.26,35.69,2012
74.26,35.68,2013
-2.45,35.59,2003
-66.13,35.5,2005
-6.3,35.47,2003
-3.21,35.3,2013
-76.32,34.97,2003
-66.53,34.85,2003
28.92,34.66,2006
-2.58,34.27,2005
-25.92,34.19,2006
57.68,34.1,2006
10.68,33.99,2011
3.77,33.83,2005
-54.75,33.79,2005
40.47,33.6,2003
-0.11,33.33,2013
-8.05,33.22,2012
-18.73,32.88,2013
6.63,32.85,2011
13.14,32.71,2003
-15.19,32.59,2013
17.24,32.57,2012
27.57,32.49,2003
13.53,32.29,2013
121.54,31.93,2011
22.99,31.82,2011
-10.93,31.78,2005
2.73,31.34,2012
2200.96,31.11,2011
14.22,30.93,2006
92.67,30.86,2008
-475.82,30.59,2019
3.92,30.07,2006
18,30.03,2012
16.79,29.82,2012
14.8,29.76,2011
17.05,29.65,2003
-19.22,29.34,2005
5.24,29.3,2012
563.17,29.22,2012
-34.31,29.22,2011
-7.75,28.99,2012
222.62,28.94,2006
0.97,28.91,2013
20.06,28.87,2011
-60.05,28.87,2012
52.36,28.86,2011
33.03,28.7,2003
138.29,28.6,2012
63.23,28.54,2014
-1.49,28.5,2011
53.71,28.4,2006
-4.39,28.28,2011
55.38,28.24,2003
20.79,28.24,2012
-18.77,28.14,2003
59.74,28.1,2011
-16.13,28.06,2006
-1.46,27.81,2006
16,27.72,2005
5.78,27.64,2011
-6.6,27.55,2011
17.45,27.47,2012
-83.59,27.43,2003
2.19,27.21,2012
13.47,27.18,2013
56.65,27.13,2005
-36.81,27.12,2011
3.24,26.89,2014
15.47,26.81,2014
-86.82,26.78,2011
8.98,26.67,2014
870.77,26.48,2013
319.04,26.48,2003
21.53,26.41,2013
67.61,26.3,2006
-0.43,26.25,2006
35.09,26.22,2003
31.29,26.17,2006
-14.71,26.13,2003
23.67,26.06,2014
570.82,26.03,2008
-1.82,25.81,2011
-22.16,25.71,2008
2861.74,25.63,2006
-14.66,25.61,2014
9.11,25.42,2006
-45.09,25.32,2011
-44.11,24.94,2013
-2.7,24.9,2014
1.81,24.83,2006
50.46,24.66,2011
-47.66,24.56,2014
5.08,24.4,2006
-9.9,24.39,2011
4.26,24.36,2012
156.85,24.35,2006
12.27,24.28,2006
5.81,24.14,2014
109.04,24.07,2012
-180.33,24.05,2011
-2.99,24.02,2006
5.79,23.9,2013
82.55,23.86,2003
9.18,23.82,2013
8.5,23.68,2006
-34.11,23.6,2003
15.2,23.59,2013
454.68,23.52,2012
23.38,23.51,2013
25.9,23.3,2006
3.32,23.11,2012
1.45,22.93,2006
62.16,22.79,2006
31.99,22.77,2011
-13,22.75,2012
66.69,22.74,2011
-66.89,22.58,2008
-4.13,22.57,2006
6.27,22.54,2019
-17.58,22.48,2014
63,22.38,2003
21.13,22.11,2014
-16.02,22.1,2011
71.87,22.08,2012
-1.4,22.05,2003
-72.69,22.04,2012
-18.91,22.01,2006
28.68,21.93,2011
11.69,21.77,2005
165.24,21.68,2019
-7.3,21.59,2006
93.77,21.5,2008
-8.1,21.22,2003
111.71,21.13,2006
31.66,21.13,2011
127.8,21.03,2006
69.85,20.97,2006
-44.08,20.92,2003
-17.87,20.69,2006
56.08,20.64,2012
145.04,20.47,2011
-9.21,20.4,2014
-35.92,20.33,2005
3922.67,20.25,2006
-1.24,20.21,2011
29.33,20,2005
8.55,20,2006
-21.03,20,2005
-14.98,19.92,2012
-25.74,19.86,2011
13.27,19.51,2003
-5.96,19.4,2011
40.3,19.23,2011
905.5,19.14,2014
7.71,19.05,2011
416.15,19.01,2006
-1.77,18.99,2012
-359.06,18.71,2006
35.01,18.69,2019
64.07,18.67,2011
6.47,18.64,2006
0.21,18.6,2012
-18.63,18.6,2003
