Date,12MF_PE,FundFlow_Institutional,FundFlow_Retail,FundFlow_foreigner,WTI,Gold,S&P500,NASDAQ100,Shanghai,USGG_2Y,USGG_10Y,USDCNY,USDKRW,KRGG_3Y,KRGG_10Y
2021-12-05,11.43,89138.00,-266077.00,151738.00,66.26,1782.00,4538.43,15712.04,3607.43,0.05,1.36,184.61,1177.30,1.90,2.23
2021-12-06,11.46,152589.00,-169374.00,3035.00,69.49,1777.50,4591.67,15846.16,3589.31,0.05,1.43,184.84,1178.60,1.87,2.21
2021-12-07,11.53,-75681.00,-139403.00,207313.00,72.05,1782.60,4686.75,16325.66,3595.09,0.06,1.48,185.64,1183.70,1.87,2.24
2021-12-08,11.57,802661.00,-686162.00,-78874.00,72.36,1783.40,4701.21,16394.34,3637.57,0.07,1.53,185.52,1181.20,1.83,2.19
2021-12-09,11.67,637273.00,-508462.00,326551.00,70.94,1774.60,4667.45,16149.57,3673.04,0.06,1.50,185.43,1176.40,1.79,2.19
2021-12-10,11.60,239521.00,14654.00,-288471.00,71.67,1782.90,4712.02,16331.98,3666.35,0.06,1.48,184.05,1173.80,1.81,2.20
2021-12-11,11.60,239521.00,14654.00,-288471.00,71.67,1782.90,4712.02,16331.98,3666.35,0.06,1.48,184.05,1173.80,1.81,2.20
2021-12-12,11.60,239521.00,14654.00,-288471.00,71.67,1782.90,4712.02,16331.98,3666.35,0.06,1.48,184.05,1173.80,1.81,2.20
2021-12-13,11.56,469028.00,-368886.00,-138302.00,71.29,1786.30,4668.97,16082.55,3681.08,0.06,1.41,184.96,1178.20,1.79,2.17
2021-12-14,11.52,-187464.00,-37889.00,183369.00,70.73,1770.40,4634.09,15914.90,3661.53,0.06,1.44,185.14,1178.80,1.78,2.17
2021-12-15,11.52,-169991.00,167207.00,-22909.00,70.87,1762.60,4709.85,16289.59,3647.63,0.05,1.46,185.88,1183.60,1.81,2.17
2021-12-16,11.60,-51468.00,-169358.00,183528.00,72.38,1796.60,4668.67,15863.94,3675.02,0.05,1.42,186.29,1186.20,1.77,2.15
2021-12-17,11.63,-13772.00,-527100.00,531733.00,70.86,1803.80,4620.64,15801.46,3632.36,0.05,1.41,185.84,1183.50,1.77,2.15
2021-12-18,11.63,-13772.00,-527100.00,531733.00,70.86,1803.80,4620.64,15801.46,3632.36,0.05,1.41,185.84,1183.50,1.77,2.15
2021-12-19,11.63,-13772.00,-527100.00,531733.00,70.86,1803.80,4620.64,15801.46,3632.36,0.05,1.41,185.84,1183.50,1.77,2.15
2021-12-20,11.39,-574578.00,1085785.00,-554495.00,68.23,1793.70,4568.02,15627.64,3593.60,0.08,1.43,185.76,1184.40,1.74,2.11
2021-12-21,11.44,602332.00,-647867.00,29328.00,71.12,1787.90,4649.23,15986.28,3625.13,0.07,1.47,186.61,1189.80,1.72,2.10
2021-12-22,11.48,61152.00,-499760.00,416128.00,72.76,1801.60,4696.56,16180.14,3622.62,0.07,1.45,186.99,1191.50,1.76,2.15
2021-12-23,11.54,578556.00,-820517.00,225897.00,73.79,1811.20,4725.79,16308.21,3643.34,0.07,1.49,187.00,1191.20,1.81,2.21
2021-12-24,11.64,916124.00,-1132389.00,189506.00,73.79,1811.20,4725.79,16308.21,3618.05,0.07,1.49,186.41,1187.50,1.80,2.21
2021-12-25,11.63,916124.00,-1132389.00,189506.00,73.79,1811.20,4725.79,16308.21,3618.05,0.07,1.49,186.41,1187.50,1.80,2.21
2021-12-26,11.63,916124.00,-1132389.00,189506.00,73.79,1811.20,4725.79,16308.21,3618.05,0.07,1.49,186.41,1187.50,1.80,2.21
