Class,Return,Leverage
Commodities,108.6 ,Short
Equity,108.6 ,Long
Equity,108.3 ,
Equity,107.9 ,
Commodities,107.7 ,
Equity,107.5 ,Long
Equity,107.3 ,
Equity,107.0 ,
Equity,106.9 ,
Equity,106.6 ,
Equity,106.5 ,
Equity,106.3 ,
Equity,106.3 ,
Equity,106.1 ,
Equity,106.0 ,
Equity,106.0 ,
Equity,104.9 ,
Equity,104.8 ,
Equity,104.4 ,
Equity,104.2 ,
Equity,104.1 ,Short
Equity,103.7 ,
Equity,103.7 ,
Equity,103.6 ,Short
Equity,103.6 ,
Equity,103.6 ,
Commodities,103.3 ,
Equity,103.3 ,
Equity,103.2 ,
Equity,103.1 ,
Alternatives,102.3 ,
Equity,102.3 ,
Equity,102.2 ,
Commodities,101.9 ,
Equity,101.9 ,
Equity,101.7 ,
Equity,101.6 ,
Equity,101.6 ,
Equity,101.4 ,
Commodities,101.3 ,Long
Equity,101.3 ,
Alternatives,101.2 ,
Equity,101.2 ,
Equity,101.1 ,
Commodities,101.0 ,Long
Equity,101.0 ,
Equity,100.9 ,
Equity,100.9 ,
Equity,100.7 ,
Equity,100.7 ,
Equity,100.7 ,
Equity,100.6 ,
Equity,100.5 ,
Equity,100.2 ,
Equity,100.1 ,
Fixed Income,100.1 ,
Equity,100.0 ,
Equity,100.0 ,
Equity,100.0 ,
Equity,99.7 ,
Equity,99.7 ,
Equity,99.6 ,
Equity,99.5 ,
Equity,99.5 ,
Equity,99.4 ,
Equity,99.2 ,
Equity,99.2 ,
Commodities,99.1 ,
Commodities,99.1 ,
Equity,99.1 ,Long
Equity,99.0 ,
Equity,98.8 ,
Equity,98.2 ,
Equity,97.7 ,
Equity,97.7 ,
Equity,97.6 ,
Equity,97.4 ,
Equity,97.4 ,
Equity,97.3 ,
Equity,96.9 ,
Equity,96.9 ,
Equity,96.8 ,
Equity,96.6 ,
Equity,96.5 ,
Equity,96.3 ,
Commodities,96.0 ,Long
Equity,96.0 ,
Equity,95.9 ,
Equity,95.8 ,
Equity,95.7 ,
Equity,95.5 ,
Commodities,95.4 ,
Equity,95.4 ,
Equity,95.4 ,
Equity,95.3 ,
Commodities,95.1 ,
Equity,94.9 ,
Equity,94.8 ,
Equity,94.6 ,
Equity,94.5 ,
Equity,94.4 ,
Commodities,94.2 ,
Equity,94.2 ,
Equity,94.1 ,
Equity,94.1 ,
Equity,93.9 ,
Equity,93.8 ,
Equity,93.6 ,
Equity,93.6 ,
Equity,93.5 ,Long
Equity,93.5 ,
Equity,93.5 ,
Equity,93.4 ,
Equity,93.3 ,
Equity,93.3 ,
Equity,93.2 ,Short
Equity,93.2 ,
Equity,93.2 ,
Equity,93.1 ,
Equity,93.0 ,
Equity,93.0 ,
Equity,92.9 ,
Equity,92.8 ,
Equity,92.8 ,
Equity,92.5 ,
Equity,92.5 ,
Equity,92.4 ,
Equity,92.0 ,
Equity,91.9 ,
Equity,91.9 ,
Equity,91.8 ,
Equity,91.6 ,
Equity,91.6 ,
Equity,91.4 ,
Equity,91.4 ,
Equity,91.3 ,
Equity,90.5 ,
Equity,90.4 ,
Equity,90.4 ,
Equity,90.3 ,
Equity,90.2 ,
Equity,90.1 ,
Equity,90.0 ,
Equity,89.9 ,
Commodities,89.8 ,
Equity,89.8 ,
Equity,89.6 ,Long
Equity,89.5 ,
Equity,89.4 ,
Fixed Income,89.4 ,
Equity,89.3 ,
Equity,89.3 ,
Commodities,89.1 ,
Equity,89.1 ,
Equity,89.1 ,
Commodities,88.9 ,
Equity,88.9 ,
Equity,88.8 ,
Equity,88.7 ,
Equity,88.6 ,
Equity,88.5 ,Long
Equity,88.5 ,
Equity,88.0 ,Long
Equity,88.0 ,
Equity,87.9 ,
Equity,87.6 ,
Equity,87.1 ,
Equity,87.0 ,
Equity,86.8 ,
Equity,86.8 ,
Equity,86.7 ,
Equity,86.7 ,
Equity,86.6 ,
Equity,86.6 ,
Equity,86.5 ,
Equity,86.4 ,
Equity,86.4 ,
Equity,86.4 ,
Equity,86.4 ,
Equity,86.3 ,
Equity,86.2 ,
Commodities,86.1 ,
Equity,86.1 ,
Commodities,86.0 ,
Equity,86.0 ,
Equity,86.0 ,
Equity,85.9 ,
Equity,85.9 ,
Equity,85.9 ,
Equity,85.9 ,
Equity,85.7 ,
Equity,85.7 ,
Equity,85.7 ,
Equity,85.6 ,
Equity,85.4 ,
Equity,85.2 ,
Equity,85.2 ,
Equity,84.9 ,
Equity,84.8 ,
Equity,84.8 ,
Equity,84.8 ,
Equity,84.6 ,
Equity,84.6 ,
Equity,84.5 ,
Equity,84.5 ,
Equity,84.5 ,
Equity,84.3 ,
Equity,84.3 ,
Equity,84.2 ,
Equity,84.2 ,
Equity,84.1 ,
Equity,84.0 ,
Equity,84.0 ,
Equity,84.0 ,
Commodities,83.9 ,
Equity,83.9 ,
Equity,83.7 ,
Equity,83.7 ,
Equity,83.7 ,
Equity,83.7 ,
Equity,83.7 ,
Equity,83.5 ,
Equity,83.4 ,
Equity,83.4 ,
Equity,83.4 ,
Equity,83.4 ,
Equity,83.2 ,
Equity,83.2 ,
Equity,83.0 ,
Equity,82.9 ,
Equity,82.8 ,
Equity,82.7 ,
Equity,82.7 ,
Equity,82.7 ,
Equity,82.7 ,
Equity,82.7 ,
Equity,82.7 ,
Equity,82.6 ,
Equity,82.6 ,
Equity,82.5 ,Short
Equity,82.5 ,
Equity,82.5 ,
Equity,82.2 ,
Equity,82.2 ,
Equity,82.2 ,
Equity,82.2 ,
Equity,82.1 ,
Equity,82.0 ,Long
Equity,82.0 ,
Equity,81.9 ,
Equity,81.8 ,
Equity,81.7 ,
Equity,81.6 ,
Equity,81.6 ,
Equity,81.6 ,
Equity,81.6 ,
Equity,81.3 ,
Equity,81.3 ,
Equity,81.2 ,
Equity,81.2 ,
Equity,81.1 ,
Equity,81.1 ,
Equity,81.1 ,
Equity,80.9 ,
Equity,80.9 ,
Commodities,80.8 ,
Equity,80.8 ,
Equity,80.8 ,
Fixed Income,80.8 ,Long
Equity,80.7 ,
Equity,80.7 ,
Fixed Income,80.7 ,
Equity,80.6 ,
Equity,80.6 ,
Equity,80.6 ,
Equity,80.5 ,
Equity,80.4 ,
Equity,80.4 ,
Equity,80.3 ,Long
Equity,80.1 ,Short
Equity,80.1 ,
Equity,80.1 ,
Equity,80.0 ,
Equity,80.0 ,
Equity,79.9 ,Long
Equity,79.9 ,
Equity,79.9 ,
Equity,79.9 ,
Equity,79.8 ,
Equity,79.7 ,
Equity,79.7 ,
Equity,79.5 ,
Equity,79.4 ,Long
Equity,79.4 ,
Equity,79.4 ,
Equity,79.2 ,
Equity,79.2 ,
Equity,79.2 ,
Equity,79.1 ,
Equity,78.9 ,Short
Equity,78.9 ,
Equity,78.9 ,
Equity,78.8 ,
Equity,78.6 ,
Equity,78.5 ,
Commodities,78.1 ,
Equity,78.1 ,
Commodities,78.0 ,
Equity,78.0 ,
Equity,78.0 ,
Equity,78.0 ,
Equity,77.9 ,
Equity,77.8 ,
Equity,77.8 ,
Equity,77.7 ,
Equity,77.7 ,
Equity,77.7 ,
Equity,77.6 ,
Equity,77.6 ,
Equity,77.6 ,
Equity,77.5 ,
Equity,77.5 ,
Equity,77.5 ,
Equity,77.4 ,
Equity,77.3 ,
Equity,77.3 ,
Equity,77.2 ,
Equity,77.2 ,
Equity,77.0 ,
Equity,77.0 ,
Equity,76.8 ,
Equity,76.7 ,
Equity,76.6 ,
Equity,76.5 ,
Equity,76.5 ,
Equity,76.5 ,
Equity,76.4 ,
Equity,76.3 ,
Equity,76.3 ,
Equity,76.2 ,
Equity,76.1 ,
Equity,76.1 ,
Equity,76.1 ,
Equity,76.0 ,
Equity,75.9 ,
Equity,75.9 ,
Equity,75.8 ,
Equity,75.8 ,
Equity,75.8 ,
Equity,75.7 ,
Equity,75.7 ,
Equity,75.7 ,
Equity,75.6 ,
Fixed Income,75.6 ,
Equity,75.5 ,
Equity,75.5 ,
Commodities,75.4 ,
Equity,75.4 ,Long
Equity,75.4 ,Short
Equity,75.4 ,
Equity,75.4 ,
Equity,75.4 ,
Equity,75.4 ,
Equity,75.3 ,
Equity,75.3 ,
Equity,75.2 ,
Equity,75.2 ,
Equity,75.1 ,
Equity,75.0 ,
Equity,75.0 ,
Equity,75.0 ,
Equity,74.9 ,
Equity,74.9 ,
Equity,74.8 ,
Equity,74.6 ,
Equity,74.6 ,
Equity,74.5 ,
Equity,74.5 ,
Equity,74.4 ,
Commodities,74.2 ,
Commodities,74.2 ,
Equity,74.2 ,
Fixed Income,74.2 ,
Equity,74.1 ,
Equity,74.0 ,
Equity,74.0 ,
Equity,73.8 ,
Equity,73.8 ,
Equity,73.8 ,
Equity,73.8 ,
Equity,73.7 ,
Equity,73.7 ,
Equity,73.6 ,
Equity,73.6 ,
Equity,73.4 ,
Equity,73.4 ,
Equity,73.4 ,
Equity,73.3 ,
Equity,73.2 ,
Equity,73.2 ,
Commodities,73.0 ,
Equity,72.9 ,
Equity,72.9 ,
Equity,72.8 ,
Equity,72.6 ,
Equity,72.5 ,
Commodities,72.4 ,
Equity,72.3 ,
Equity,72.3 ,
Commodities,72.2 ,
Commodities,72.0 ,Short
Equity,72.0 ,
Equity,72.0 ,
Equity,72.0 ,
Equity,71.9 ,Short
Equity,71.9 ,
Equity,71.7 ,
Commodities,71.6 ,
Equity,71.6 ,Long
Equity,71.6 ,
Equity,71.6 ,
Equity,71.6 ,
Equity,71.6 ,
Equity,71.4 ,
Equity,71.4 ,
Equity,71.4 ,
Equity,71.3 ,
Commodities,71.2 ,
Equity,71.2 ,
Equity,71.2 ,
Commodities,71.1 ,
Equity,71.1 ,
Equity,71.1 ,
Equity,71.0 ,
Equity,71.0 ,
Equity,71.0 ,
Equity,70.9 ,
Equity,70.9 ,
Equity,70.8 ,
Equity,70.8 ,
Equity,70.7 ,
Equity,70.7 ,
Equity,70.7 ,
Equity,70.6 ,
Equity,70.6 ,
Equity,70.6 ,
Equity,70.5 ,
Equity,70.5 ,
Equity,70.4 ,
Equity,70.4 ,
Equity,70.3 ,
Equity,70.3 ,
