3,52.4
6,8.2
9,26.3
12,16.4
3,29.8
6,1.9
9,1.6
12,10.3
3,-12.3
6,-5.5
9,-0.7
12,-25.5
3,18.7
6,-3.9
9,6.8
12,5.2
3,4.7
6,2
9,2.9
12,-10.9
3,-1
6,1
9,3.3
12,-5.1
3,26.2
6,11.9
9,-3.7
12,-9.7
3,17.5
6,11.5
9,-7.3
12,-57.3
3,-6.2
6,13.6
9,4.3
12,-11.8
3,4
6,-0.7
9,-2.7
12,-14.2
3,47.8
6,-2.7
9,-2.6
12,-17.6
3,5.1
6,-9.9
9,-5.6
12,-20.2
3,-3.5
6,2.3
9,-6.6
12,-31.8
3,-0.6
6,-1.9
9,-11.5
12,-13.2
3,11.6
6,-1.3
9,-3.6
12,-5.8
3,11.3
6,11.1
9,-5.4
12,-18.1
3,12.2
6,10.2
9,3.3
12,-13.8
3,6.5
6,5.1
9,1.8
12,-20.4
3,2.8
6,12.8
9,5.1
12,-11.1
3,7.5
6,20.4
9,21.2
12,-1.3
3,27.5
6,20.1
9,7.6
