Date,Price
2021-02-12,83500
2021-02-19,82600
2021-02-26,82500
2021-03-05,82100
2021-03-12,82800
2021-03-19,81900
2021-03-26,81500
2021-04-02,84800
2021-04-09,83600
2021-04-16,83900
2021-04-23,82800
2021-04-30,81500
2021-05-07,81900
2021-05-14,80100
2021-05-21,80100
2021-05-28,80100
2021-06-04,82200
2021-06-11,81000
2021-06-18,80500
2021-06-25,81600
2021-07-02,80000
2021-07-09,79400
2021-07-16,79800
2021-07-23,79300
2021-07-30,78500
2021-08-06,81500
2021-08-13,74400
2021-08-20,72700
2021-08-27,74300
2021-09-03,76600
2021-09-10,75300
2021-09-17,77200
2021-09-24,77300
2021-10-01,73200
2021-10-08,71500
2021-10-15,70100
2021-10-22,70400
2021-10-29,69800
2021-11-05,70200
2021-11-12,70600
2021-11-19,71200
2021-11-26,72300
2021-12-03,75600
2021-12-10,76900
2021-12-17,78000
2021-12-24,80500
2021-12-31,78300
