Date,MKF500,Value,Growth,KOSPI200
2003-08-29,136.43,216.30,141.99,133.41
2003-09-05,137.18,216.54,142.66,133.88
2003-09-12,138.63,214.92,144.22,135.16
2003-09-19,134.25,209.57,139.32,131.41
2003-09-26,124.80,199.35,128.07,122.37
2003-10-03,128.70,204.53,132.68,125.84
2003-10-10,136.57,213.13,140.87,133.94
2003-10-17,138.13,217.17,140.54,135.79
2003-10-24,134.49,214.44,138.36,132.25
2003-10-31,140.54,227.32,143.64,138.67
2003-11-07,144.21,245.35,146.31,142.49
2003-11-14,145.62,250.52,147.23,144.02
2003-11-21,138.43,234.16,139.31,136.62
2003-11-28,142.68,245.00,142.22,141.64
2003-12-05,141.24,248.81,142.32,139.26
2003-12-12,144.34,254.04,145.50,142.61
2003-12-19,144.62,257.06,145.02,143.60
2003-12-26,141.01,251.25,141.55,140.03
2004-01-02,146.74,257.82,148.36,145.80
2004-01-09,152.53,255.60,154.40,150.73
2004-01-16,152.71,261.03,153.45,151.24
2004-01-23,155.51,262.04,156.35,153.97
2004-01-30,153.39,255.45,154.84,151.59
2004-02-06,153.52,258.20,153.12,151.96
2004-02-13,159.77,266.56,160.14,158.24
2004-02-20,158.70,266.17,158.30,157.25
2004-02-27,159.31,269.38,157.70,158.47
2004-03-05,163.52,280.23,160.23,162.52
2004-03-12,153.49,265.20,150.83,152.06
2004-03-19,159.75,277.76,156.57,158.61
2004-03-26,156.32,271.30,154.01,155.35
2004-04-02,160.69,279.20,158.68,159.06
2004-04-09,164.84,284.11,161.02,163.05
2004-04-16,163.04,284.76,158.61,161.27
2004-04-23,169.52,293.65,166.26,167.38
2004-04-30,155.63,280.42,150.84,153.66
2004-05-07,151.16,269.07,148.06,149.53
2004-05-14,137.41,246.59,133.32,135.49
2004-05-21,141.10,247.28,137.00,139.62
2004-05-28,146.25,256.78,141.40,144.66
2004-06-04,139.62,251.12,133.37,138.00
2004-06-11,133.53,247.35,127.27,131.77
2004-06-18,132.45,242.16,125.36,130.88
2004-06-25,139.72,245.34,131.18,138.18
2004-07-02,134.93,247.48,128.53,133.63
2004-07-09,132.73,247.35,126.18,131.93
2004-07-16,131.40,246.70,123.74,130.69
2004-07-23,130.89,248.19,122.08,130.39
2004-07-30,130.19,247.39,121.56,130.24
2004-08-06,129.98,246.74,122.96,129.65
2004-08-13,137.14,260.01,131.28,136.91
2004-08-20,138.01,263.40,131.29,137.88
2004-08-27,141.24,270.89,134.72,141.33
2004-09-03,143.12,281.48,135.71,143.32
2004-09-10,146.59,287.45,138.45,146.71
2004-09-17,148.75,293.04,139.67,149.45
2004-09-24,145.83,292.88,136.08,146.73
2004-10-01,148.51,300.44,138.35,149.58
2004-10-08,154.28,310.44,143.21,155.60
2004-10-15,147.03,311.98,136.71,148.22
2004-10-22,144.91,307.54,133.19,146.00
2004-10-29,146.19,319.01,132.58,147.63
2004-11-05,150.75,326.45,136.13,152.45
2004-11-12,153.33,336.33,137.53,155.04
2004-11-19,151.95,329.08,137.95,153.21
2004-11-26,150.12,335.60,134.97,151.31
2004-12-03,154.12,349.84,136.84,155.79
2004-12-10,146.96,337.81,130.99,148.42
2004-12-17,152.34,341.76,136.29,153.97
2004-12-24,152.94,338.93,134.92,154.68
2004-12-31,155.54,343.66,138.99,157.55
2005-01-07,153.05,344.18,138.10,154.08
2005-01-14,159.79,352.37,143.13,161.07
2005-01-21,162.34,356.74,146.22,163.23
2005-01-28,162.90,370.05,147.45,163.57
