Date,Samsung_KOSPI200,Samsung
2020-07-17,172,205
2020-07-24,172,204
2020-07-31,178,218
2020-08-07,169,216
2020-08-14,167,218
2020-08-21,168,210
2020-08-28,163,208
2020-09-04,164,209
2020-09-11,172,222
2020-09-18,171,223
2020-09-25,176,218
2020-10-02,173,219
2020-10-09,173,224
2020-10-16,176,224
2020-10-23,176,226
2020-10-30,173,213
2020-11-06,172,226
2020-11-13,175,238
2020-11-20,175,243
2020-11-27,178,256
2020-12-04,179,269
2020-12-11,181,276
2020-12-18,181,274
2020-12-25,189,292
2021-01-01,191,305
2021-01-08,190,334
2021-01-15,193,331
2021-01-22,187,326
2021-01-29,187,308
2021-02-05,182,314
2021-02-12,179,307
2021-02-19,181,311
2021-02-26,185,310
2021-03-05,183,309
2021-03-12,183,311
2021-03-19,183,308
2021-03-26,182,306
2021-04-02,184,319
2021-04-09,181,314
2021-04-16,179,315
2021-04-23,178,311
2021-04-30,178,306
2021-05-07,176,308
2021-05-14,175,301
2021-05-21,175,301
2021-05-28,173,301
2021-06-04,175,309
2021-06-11,172,305
2021-06-18,170,303
2021-06-25,171,307
2021-07-02,169,301
2021-07-09,171,298
2021-07-16,169,300
2021-07-23,169,298
2021-07-30,170,295
2021-08-06,173,306
2021-08-13,165,280
2021-08-20,167,273
2021-08-27,167,279
2021-09-03,168,288
2021-09-10,170,283
2021-09-17,173,290
2021-09-24,174,291
2021-10-01,171,275
2021-10-08,170,269
2021-10-15,164,264
2021-10-22,165,265
2021-10-29,165,262
2021-11-05,166,264
2021-11-12,166,265
2021-11-19,168,268
2021-11-26,173,272
2021-12-03,177,284
2021-12-10,178,289
2021-12-17,180,293
2021-12-24,185,303
2021-12-31,183,294
