Date,CM
2017-02-24,1779
2017-03-03,1761
2017-03-10,1821
2017-03-17,1847
2017-03-24,1910
2017-03-31,1885
2017-04-07,1909
2017-04-14,1894
2017-04-21,1917
2017-04-28,1912
2017-05-05,1922
2017-05-12,1899
2017-05-19,1962
2017-05-26,2013
2017-06-02,2032
2017-06-09,2082
2017-06-16,2048
2017-06-23,2063
2017-06-30,2036
2017-07-07,2035
2017-07-14,2003
2017-07-21,2053
2017-07-28,2035
2017-08-04,2033
2017-08-11,1986
2017-08-18,1972
2017-08-25,1992
2017-09-01,1954
2017-09-08,1964
2017-09-15,1997
2017-09-22,1975
2017-09-29,1997
2017-10-06,1997
2017-10-13,2025
2017-10-20,2055
2017-10-27,2069
2017-11-03,2102
2017-11-10,2057
2017-11-17,2068
2017-11-24,2101
2017-12-01,2097
2017-12-08,2114
2017-12-15,2163
2017-12-22,2098
2017-12-29,2136
2018-01-05,2109
2018-01-12,2075
2018-01-19,2111
2018-01-26,2146
2018-02-02,2104
2018-02-09,1851
2018-02-16,1885
2018-02-23,1925
2018-03-02,1859
2018-03-09,1895
2018-03-16,1926
2018-03-23,1858
2018-03-30,1907
2018-04-06,1856
2018-04-13,1807
2018-04-20,1757
2018-04-27,1778
2018-05-04,1767
2018-05-11,1769
2018-05-18,1760
2018-05-25,1788
2018-06-01,1764
2018-06-08,1813
2018-06-15,1802
2018-06-22,1858
2018-06-29,1855
2018-07-06,1840
2018-07-13,1906
2018-07-20,1857
2018-07-27,1879
2018-08-03,1879
2018-08-10,1880
2018-08-17,1869
2018-08-24,1889
2018-08-31,1866
2018-09-07,1859
2018-09-14,1913
2018-09-21,1908
2018-09-28,1936
2018-10-05,1890
2018-10-12,1855
2018-10-19,1842
2018-10-26,1730
2018-11-02,1765
2018-11-09,1784
2018-11-16,1827
2018-11-23,1865
2018-11-30,1968
2018-12-07,1892
2018-12-14,1885
2018-12-21,1868
2018-12-28,1869
2019-01-04,1896
2019-01-11,1891
2019-01-18,1905
2019-01-25,1875
2019-02-01,1849
2019-02-08,1854
2019-02-15,1838
2019-02-22,1834
2019-03-01,1870
2019-03-08,1826
2019-03-15,1851
2019-03-22,1843
2019-03-29,1864
2019-04-05,1849
2019-04-12,1856
2019-04-19,1865
2019-04-26,1860
2019-05-03,1923
2019-05-10,1949
2019-05-17,1887
2019-05-24,1828
2019-05-31,1824
2019-06-07,1828
2019-06-14,1871
2019-06-21,1893
2019-06-28,1871
2019-07-05,1865
2019-07-12,1853
2019-07-19,1870
2019-07-26,1874
2019-08-02,1896
2019-08-09,1881
2019-08-16,1835
2019-08-23,1902
2019-08-30,1913
2019-09-06,1927
2019-09-13,1944
2019-09-20,1941
2019-09-27,1937
2019-10-04,1881
2019-10-11,1924
2019-10-18,1900
2019-10-25,1914
