Date,KOSPI_TR
2015-06-19,2155.18
2015-06-26,2200.77
2015-07-03,2217.48
2015-07-10,2140.31
2015-07-17,2188.38
2015-07-24,2155.89
2015-07-31,2139.25
2015-08-07,2118.26
2015-08-14,2090.05
2015-08-21,1976.89
2015-08-28,2041.79
2015-09-04,1987.4
2015-09-11,2045.71
2015-09-18,2103.24
2015-09-25,2047.29
2015-10-02,2075.56
2015-10-09,2128.1
2015-10-16,2139.41
2015-10-23,2150.1
2015-10-30,2138.58
2015-11-06,2150.8
2015-11-13,2079.38
2015-11-20,2096.84
2015-11-27,2138.07
2015-12-04,2080.54
2015-12-11,2053.37
2015-12-18,2081.51
2015-12-25,2097.67
2016-01-01,2094.25
2016-01-08,2047.6
2016-01-15,2006.23
2016-01-22,2006.83
2016-01-29,2041.67
2016-02-05,2047.77
2016-02-12,1959.67
2016-02-19,2046.11
2016-02-26,2050.3
2016-03-04,2088.18
2016-03-11,2105.03
2016-03-18,2127.87
2016-03-25,2123.32
2016-04-01,2113.03
2016-04-08,2111.4
2016-04-15,2157.07
2016-04-22,2157.9
2016-04-29,2135.05
2016-05-06,2116.37
2016-05-13,2106.01
2016-05-20,2085.33
2016-05-27,2108.36
2016-06-03,2126.21
2016-06-10,2160.24
2016-06-17,2091.46
2016-06-24,2061.32
2016-07-01,2128.88
2016-07-08,2102.93
2016-07-15,2160.95
2016-07-22,2153.42
2016-07-29,2160.12
2016-08-05,2161.91
2016-08-12,2196.81
2016-08-19,2202.99
2016-08-26,2182.91
2016-09-02,2183.78
2016-09-09,2183.3
2016-09-16,2142.04
2016-09-23,2200.65
2016-09-30,2189.46
2016-10-07,2200.36
2016-10-14,2167
2016-10-21,2178.08
2016-10-28,2163.53
2016-11-04,2123.46
2016-11-11,2126.21
2016-11-18,2115.65
2016-11-25,2115.52
2016-12-02,2111.39
2016-12-09,2169.33
2016-12-16,2188.12
2016-12-23,2181.32
2016-12-30,2203.43
2017-01-06,2228.08
2017-01-13,2258.17
2017-01-20,2246.01
2017-01-27,2265.55
2017-02-03,2254.21
2017-02-10,2256.3
2017-02-17,2262.27
2017-02-24,2276.99
2017-03-03,2260.27
2017-03-10,2280.5
2017-03-17,2353.6
2017-03-24,2358.13
2017-03-31,2353.54
2017-04-07,2344.11
2017-04-14,2325.74
2017-04-21,2358.59
2017-04-28,2404.32
2017-05-05,2443.46
2017-05-12,2492.29
2017-05-19,2495.23
2017-05-26,2568.09
2017-06-02,2585.99
2017-06-09,2596.86
2017-06-16,2575.21
2017-06-23,2593.49
2017-06-30,2609.47
2017-07-07,2596.52
2017-07-14,2634.44
2017-07-21,2673.1
2017-07-28,2621.21
2017-08-04,2615.39
2017-08-11,2532.83
2017-08-18,2575.06
2017-08-25,2597.06
2017-09-01,2574.32
2017-09-08,2559.06
2017-09-15,2605.3
2017-09-22,2608.19
2017-09-29,2614.66
2017-10-06,2614.66
2017-10-13,2701.16
2017-10-20,2718.55
2017-10-27,2726.29
2017-11-03,2794.86
2017-11-10,2778.69
2017-11-17,2768.9
2017-11-24,2780.2
2017-12-01,2704.88
2017-12-08,2692.41
2017-12-15,2712.15
2017-12-22,2666.77
2017-12-29,2733.87
2018-01-05,2767.13
2018-01-12,2765.91
2018-01-19,2792.32
2018-01-26,2852.7
2018-02-02,2797.99
2018-02-09,2618.92
2018-02-16,2683.25
2018-02-23,2716.15
2018-03-02,2661.46
2018-03-09,2724.89
2018-03-16,2762.36
2018-03-23,2678.83
2018-03-30,2714.69
2018-04-06,2694.67
2018-04-13,2722.95
2018-04-20,2746.52
2018-04-27,2766.84
2018-05-04,2732.4
2018-05-11,2750.53
2018-05-18,2731.6
2018-05-25,2731.77
2018-06-01,2707.53
2018-06-08,2721.54
2018-06-15,2668.76
2018-06-22,2616.79
2018-06-29,2585.83
2018-07-06,2526.63
2018-07-13,2568.9
2018-07-20,2544.66
2018-07-27,2551.36
2018-08-03,2545.57
2018-08-10,2540.13
2018-08-17,2500.36
2018-08-24,2551.72
2018-08-31,2584.74
2018-09-07,2538.78
2018-09-14,2579.58
2018-09-21,2602.85
2018-09-28,2609.19
2018-10-05,2525.06
2018-10-12,2407.4
2018-10-19,2401.17
2018-10-26,2257.39
2018-11-02,2336.53
2018-11-09,2325.6
2018-11-16,2332.64
2018-11-23,2293.72
2018-11-30,2337.62
2018-12-07,2314.09
2018-12-14,2306.99
2018-12-21,2298.2
2018-12-28,2313.3
2019-01-04,2278.41
2019-01-11,2352.44
2019-01-18,2407.66
2019-01-25,2468.24
2019-02-01,2497.4
2019-02-08,2467.46
2019-02-15,2489.04
2019-02-22,2528.04
2019-03-01,2488.29
2019-03-08,2422.58
2019-03-15,2466.42
2019-03-22,2478.85
2019-03-29,2432.21
2019-04-05,2510.85
2019-04-12,2537.94
2019-04-19,2518.28
2019-04-26,2476.41
2019-05-03,2495.74
2019-05-10,2395.42
2019-05-17,2336.14
2019-05-24,2324.22
2019-05-31,2320.16
2019-06-07,2354.92
2019-06-14,2381.14
2019-06-21,2415.47
2019-06-28,2426.98
2019-07-05,2404.17
2019-07-12,2376.91
2019-07-19,2385.69
2019-07-26,2353.95
2019-08-02,2276.37
2019-08-09,2207.59
2019-08-16,2195.51
2019-08-23,2219.57
2019-08-30,2241.78
2019-09-06,2288.87
2019-09-13,2334.51
2019-09-20,2382.74
2019-09-27,2339.73
