DPS,EBIT,FCF,NetDebt_to_Sales,DPS_E,EBIT_E,DPS_Derection
,30.04,-278.21,38.68,,,-1
,31.25,554.74,25.86,580,432.6,-1
350,31.46,226.43,16.65,,,-1
,31.62,100.09,12.14,,,-1
100,32.27,-105.79,102.03,,,-1
,32.41,89.6,39.48,,,-1
35,34.64,-604.82,89.12,,,-1
,35.4,368.22,,,,-1
500,35.77,-110.96,5.13,,,-1
25,36.32,-323.98,28.41,50,111.95,-1
50,36.41,158.88,31.18,,,-1
150,37.15,244.08,98.89,150,338,-1
300,38.01,55.43,75.38,,,-1
10,39.1,75.22,4.58,,,-1
150,39.99,20.92,,,,-1
,40.18,-97.35,51.98,,,-1
350,40.25,30.38,28.91,,,-1
100,40.27,-48.35,9.85,,,-1
30,40.39,185.23,69.13,,,-1
25,41.1,131.15,18.46,60,176.5,-1
,41.15,-3.19,19.06,,,-1
,42.94,217.86,10.72,,,-1
,43.09,456.98,135.29,,,-1
500,44.88,462.73,7.29,,,-1
400,45.77,-943.12,14.68,407,642.5,-1
250,45.81,77.65,,,,-1
300,46.25,73.78,12.27,,,-1
1000,46.97,-155.45,63.4,1050,403.66,-1
150,48.02,66.96,20.82,,,-1
80,48.13,90.72,0.9,,,-1
,48.84,43.81,46.66,,,-1
200,49.77,454.81,14.02,,,-1
,50.13,-257.68,35.41,,,-1
,50.45,124.44,74.14,,,-1
,50.59,1.24,58.42,,,-1
70,50.64,45.59,8.5,,,-1
,50.73,503.78,61.65,,,-1
60,50.79,80.44,5.73,,97,-1
100,52.13,201.88,27.63,,,-1
27,52.73,343.96,13.8,,,-1
50,52.81,-148.21,17.13,75,199,-1
,53.31,-11.73,64.41,,,-1
50,54.33,-180.05,41.22,,,-1
,55.19,195.76,34.4,,,-1
,55.28,-19.4,5.21,,77,-1
150,56.02,95.18,26.47,,,-1
100,56.22,220.93,0.85,,,-1
,57.02,-64.47,87.1,,,-1
3250,57.49,-87.72,23.61,,,-1
60,57.92,-287.84,9.89,,,-1
200,58.09,39.76,208.44,,,-1
5,58.96,-240.39,30.94,,,-1
,59.15,-123.24,109.18,,,-1
300,59.17,93.83,,,,-1
100,59.23,-159.94,96.82,,,-1
,59.33,24.51,16.11,,,-1
,59.35,-70.57,0.62,,207.8,-1
50,59.35,1167.59,27.97,,,-1
100,61.74,146.99,5.85,104,146.6,-1
750,61.94,149.68,0.44,,,-1
1000,62.75,203.59,2.24,,,-1
100,62.94,65.7,15.71,,,-1
500,63.69,69.98,0.3,,114,-1
60,64.41,24.64,61.04,60,193,-1
1000,64.48,145.93,,1000,66.66,-1
300,64.91,-539.9,16.16,,,-1
150,65.31,53.24,10.48,,,-1
,65.64,-3112.96,43.09,129,1789.66,-1
100,66.12,31.88,6.64,70,147,-1
,66.33,40.97,29.7,,,-1
,67.16,-49.38,13.36,,,-1
180,67.79,82.89,6.46,,,-1
,68.51,111.68,10.38,,,-1
100,70.07,-71.75,2.87,,,-1
,70.25,180.55,39.82,,,-1
,70.45,101.76,12,,,-1
,70.63,-98.42,2.28,,,-1
500,71.48,-34.55,13.03,700,154.5,-1
100,71.79,120.32,6.13,,,-1
175,71.8,131,12.29,,,-1
100,71.9,-395.17,21.44,,,-1
,71.99,65.59,9.32,,,-1
,72.33,74.25,8.12,,,-1
900,72.87,399.57,0.78,,,-1
,73.07,1423.13,71.92,,,-1
30,73.4,154.49,71.91,,100,-1
400,74.46,29.21,22.42,533,442,-1
70,75,4208.21,39.05,75,425.25,-1
,76.25,520.61,62.55,,,-1
100,76.6,68.21,39.02,,,-1
,77.53,194.72,57.34,,,-1
200,77.78,109.28,28.88,,,-1
60,77.87,333.72,39.56,,,-1
504,78.37,-16.37,1.54,539,158.4,-1
100,78.46,93.3,0.9,,,-1
30,79.3,189.96,31.18,,276,-1
150,79.71,57.08,,,,-1
,79.79,44.11,4.44,,,-1
800,80.18,591.18,64.34,863,2467.19,-1
1000,80.29,160.06,,1000,118.06,-1
300,80.45,195.4,,375,116.1,-1
100,81.08,179.81,26.65,,,-1
,81.09,12.98,17.57,,,-1
750,81.58,82.16,,750,267.67,-1
350,81.61,-2.9,17.93,,,-1
50,81.89,44.49,26.6,100,108.91,-1
500,81.91,-23.08,0.15,,,-1
400,82.23,617.45,14.61,,,-1
300,82.64,208.77,,307,168.84,-1
,82.98,180.83,16.53,,,-1
660,84.07,144.53,,,,-1
10,85.45,-327.06,24.89,,,-1
320,85.71,123.1,,333,90.72,-1
1000,85.87,-421.6,,,,-1
250,85.92,53.14,6.18,,,-1
350,86.08,112.65,55.96,,,-1
350,86.3,67.65,,,,-1
100,86.61,61.72,29.39,100,120,-1
500,87.21,425.84,42.22,,700,-1
175,87.7,58.86,23.52,,169,-1
75,88.05,24.18,26.45,,,-1
35,88.64,-493.49,29.45,,211,-1
20,88.65,80.7,,37,164.87,-1
80,89.17,92.52,12.98,,,-1
100,89.65,249.75,9.8,100,68.79,-1
,89.92,627.89,384.5,,,-1
200,90.02,352.82,5.58,,,-1
400,90.96,-99.92,10.41,,,-1
210,91.39,21.14,,,,-1
,91.4,606.36,33.97,,,-1
,91.66,81.22,0.4,,,-1
300,91.68,130.7,14.04,,,-1
1000,91.89,140.95,1.27,,,-1
150,91.98,148.91,16.96,,,-1
500,92.26,222,12.02,600,122,-1
75,92.43,57.4,1.34,,132,-1
250,92.5,154.92,0.18,250,103,-1
500,92.92,206.94,36.46,,,-1
,93.3,115.78,12.03,,,-1
130,93.43,81.29,,,130,-1
100,93.93,291.67,19.44,,,-1
125,94.86,597.83,90.2,191,127.21,-1
,94.95,274.25,14.19,,,-1
,94.97,238.48,38.46,30,161,-1
,95.13,897.61,6.28,,,-1
225,95.37,191.79,1.24,,,-1
175,95.89,105.71,7.95,,,-1
100,96.78,164.69,39.6,,,-1
2000,97.06,-46.53,19.01,,,-1
30,97.36,387.2,5.23,39,230.16,-1
1500,97.75,34.55,0.65,,,-1
300,98.31,1380.8,26.95,,,-1
1000,99.04,-66.57,,,,-1
80,100.03,42.41,4.48,,,-1
600,100.39,150.33,,600,129.3,-1
,100.39,271.84,89.04,,,-1
400,101.78,-116.99,3.11,906,254,-1
100,102.92,187.2,45.09,,,-1
125,103.44,271.64,9,,,-1
625,104.21,311.06,38.21,615,329,-1
500,105.21,118.38,44.19,,,-1
1200,105.5,154.43,8.72,,,-1
1000,106.67,119.29,7.7,,250,-1
700,107.58,-29.54,,776,116.33,-1
,108.13,-16.42,57.76,,,-1
100,108.67,12.53,11.34,147,223.24,-1
200,109.51,385.58,19.56,,,-1
150,109.87,615.84,,,,-1
,109.97,-4.6,9.12,,,-1
500,110.2,-91.88,37.4,,,-1
,110.57,78.88,54.73,50,224.92,-1
,110.69,6.81,7.05,135,318,-1
55,111.48,-34.13,,,,-1
200,111.51,-150.15,1.87,,252,-1
,112.3,-53.59,,463,262.5,-1
,112.35,179.75,95.21,500,200,-1
200,112.9,-65.65,6.25,,,-1
200,113.19,126.35,5.7,,,-1
50,113.23,99.97,23.42,,,-1
400,113.62,173.24,0.41,,,-1
6000,113.69,-74.9,30.48,,,-1
375,114.35,90.97,,,,-1
175,114.85,105.51,3.98,,,-1
