Date,FN
2017-10-20,998
2017-10-27,1007
2017-11-03,1006
2017-11-10,968
2017-11-17,978
2017-11-24,976
2017-12-01,960
2017-12-08,974
2017-12-15,1006
2017-12-22,1003
2017-12-29,1020
2018-01-05,1027
2018-01-12,1086
2018-01-19,1093
2018-01-26,1086
2018-02-02,1087
2018-02-09,1003
2018-02-16,1025
2018-02-23,1052
2018-03-02,1016
2018-03-09,997
2018-03-16,999
2018-03-23,981
2018-03-30,981
2018-04-06,946
2018-04-13,966
2018-04-20,971
2018-04-27,1000
2018-05-04,986
2018-05-11,995
2018-05-18,979
2018-05-25,958
2018-06-01,923
2018-06-08,973
2018-06-15,945
2018-06-22,924
2018-06-29,916
2018-07-06,928
2018-07-13,933
2018-07-20,911
2018-07-27,920
2018-08-03,908
2018-08-10,904
2018-08-17,893
2018-08-24,890
2018-08-31,900
2018-09-07,886
2018-09-14,893
2018-09-21,919
2018-09-28,944
2018-10-05,951
2018-10-12,890
2018-10-19,890
2018-10-26,885
2018-11-02,873
2018-11-09,873
2018-11-16,871
2018-11-23,859
2018-11-30,852
2018-12-07,846
2018-12-14,852
2018-12-21,867
2018-12-28,857
2019-01-04,842
2019-01-11,838
2019-01-18,871
2019-01-25,884
2019-02-01,905
2019-02-08,903
2019-02-15,898
2019-02-22,899
2019-03-01,891
2019-03-08,853
2019-03-15,892
2019-03-22,873
2019-03-29,858
2019-04-05,907
2019-04-12,910
2019-04-19,895
2019-04-26,886
2019-05-03,896
2019-05-10,881
2019-05-17,867
2019-05-24,886
2019-05-31,860
2019-06-07,868
2019-06-14,876
2019-06-21,881
2019-06-28,886
2019-07-05,867
2019-07-12,861
2019-07-19,874
2019-07-26,849
2019-08-02,810
2019-08-09,781
2019-08-16,750
2019-08-23,759
2019-08-30,771
2019-09-06,779
2019-09-13,814
2019-09-20,825
2019-09-27,800
2019-10-04,781
2019-10-11,784
2019-10-18,797
2019-10-25,806
2019-11-01,785
2019-11-08,820
2019-11-15,822
2019-11-22,823
2019-11-29,818
2019-12-06,820
2019-12-13,870
2019-12-20,863
2019-12-27,872
2020-01-03,849
2020-01-10,823
2020-01-17,833
2020-01-24,825
2020-01-31,778
2020-02-07,790
2020-02-14,770
2020-02-21,740
2020-02-28,698
2020-03-06,678
2020-03-13,578
2020-03-20,495
2020-03-27,581
2020-04-03,555
2020-04-10,608
2020-04-17,606
2020-04-24,581
2020-05-01,640
2020-05-08,622
2020-05-15,608
2020-05-22,604
2020-05-29,641
2020-06-05,713
2020-06-12,651
2020-06-19,652
2020-06-26,628
2020-07-03,633
2020-07-10,613
2020-07-17,649
2020-07-24,646
2020-07-31,645
2020-08-07,659
2020-08-14,720
2020-08-21,673
2020-08-28,683
2020-09-04,676
2020-09-11,681
2020-09-18,680
2020-09-25,657
2020-10-02,667
2020-10-09,689
2020-10-16,675
2020-10-23,736
2020-10-30,698
2020-11-06,731
2020-11-13,765
2020-11-20,789
2020-11-27,803
2020-12-04,808
2020-12-11,810
2020-12-18,792
2020-12-25,802
2021-01-01,809
2021-01-08,857
2021-01-15,846
2021-01-22,819
2021-01-29,760
2021-02-05,803
2021-02-12,820
2021-02-19,817
2021-02-26,813
2021-03-05,846
2021-03-12,880
2021-03-19,884
2021-03-26,892
2021-04-02,895
2021-04-09,906
2021-04-16,909
2021-04-23,933
2021-04-30,961
2021-05-07,996
2021-05-14,992
2021-05-21,968
2021-05-28,988
2021-06-04,1003
2021-06-11,984
2021-06-18,976
2021-06-25,1000
2021-07-02,972
2021-07-09,920
2021-07-15,946
