Date,MKF500,Value,Growth,KOSPI200
2001-01-05,1131.12,1141.80,1131.39,73.15
2001-01-12,1164.66,1157.34,1159.32,74.04
2001-01-19,1250.57,1200.56,1303.95,78.60
2001-01-26,1200.55,1203.95,1227.61,74.64
2001-02-02,1234.64,1228.21,1296.25,76.70
2001-02-09,1205.78,1223.27,1252.91,74.91
2001-02-16,1238.17,1274.08,1308.97,76.08
2001-02-23,1186.03,1291.25,1222.20,72.90
2001-03-02,1122.23,1225.78,1149.77,69.84
2001-03-09,1142.16,1235.38,1185.43,70.55
2001-03-16,1082.35,1163.94,1151.55,67.10
2001-03-23,1084.88,1158.03,1183.38,67.01
2001-03-30,1054.45,1111.82,1161.67,65.16
2001-04-06,1021.10,1084.84,1103.82,63.02
2001-04-13,1038.91,1096.37,1146.91,64.25
2001-04-20,1125.34,1161.72,1251.62,69.62
2001-04-27,1130.20,1170.93,1247.34,69.67
2001-05-04,1197.05,1240.64,1294.55,73.51
2001-05-11,1193.17,1263.86,1294.82,72.95
2001-05-18,1235.35,1331.55,1295.33,75.25
2001-05-25,1269.66,1460.14,1319.86,77.81
2001-06-01,1227.37,1432.80,1277.21,75.34
2001-06-08,1256.55,1463.48,1318.47,77.19
2001-06-15,1249.81,1521.63,1292.86,76.35
2001-06-22,1199.19,1494.83,1222.36,73.59
2001-06-29,1195.93,1493.21,1202.91,73.20
2001-07-06,1156.79,1451.11,1161.69,71.18
2001-07-13,1094.84,1367.47,1090.49,67.49
2001-07-20,1068.05,1297.73,1092.96,66.31
2001-07-27,1078.67,1311.45,1125.18,66.96
2001-08-03,1138.78,1379.21,1193.14,70.46
2001-08-10,1106.70,1386.03,1137.88,68.52
2001-08-17,1150.48,1474.75,1168.91,71.56
2001-08-24,1127.81,1428.39,1139.14,70.26
2001-08-31,1070.56,1324.86,1100.51,67.42
2001-09-07,1095.13,1379.63,1117.54,68.50
2001-09-14,944.28,1187.94,960.33,59.73
2001-09-21,909.76,1215.60,879.16,58.23
2001-09-28,929.42,1250.85,892.28,58.91
2001-10-05,974.36,1298.35,930.74,61.82
2001-10-12,1013.06,1323.25,1010.43,63.59
2001-10-19,1040.48,1371.48,1039.42,64.98
2001-10-26,1077.87,1398.81,1079.56,67.09
2001-11-02,1091.39,1416.25,1093.33,68.09
2001-11-09,1153.98,1471.74,1159.83,71.60
2001-11-16,1221.15,1550.37,1210.32,76.11
2001-11-23,1292.68,1651.83,1275.01,80.55
2001-11-30,1296.11,1732.06,1279.52,80.03
2001-12-07,1428.58,1844.58,1486.78,88.25
2001-12-14,1354.85,1800.63,1424.31,82.70
2001-12-21,1307.15,1704.40,1375.50,80.43
2001-12-28,1413.28,1810.59,1491.61,86.97
2002-01-04,1528.78,1914.19,1646.42,94.24
2002-01-11,1486.78,1969.60,1589.79,90.96
2002-01-18,1446.09,1910.03,1540.53,88.63
2002-01-25,1587.18,2169.57,1668.26,97.06
2002-02-01,1518.48,2102.79,1602.05,92.46
2002-02-08,1510.22,2112.88,1588.50,92.26
2002-02-15,1603.86,2244.31,1684.23,98.00
2002-02-22,1621.56,2302.86,1692.82,99.11
2002-03-01,1675.34,2429.27,1765.45,102.62
2002-03-08,1687.20,2434.95,1808.05,103.04
2002-03-15,1768.26,2719.90,1854.69,107.06
2002-03-22,1839.92,2837.74,1941.13,111.79
2002-03-29,1836.78,2804.26,1965.46,111.84
2002-04-05,1870.89,2841.36,1977.33,114.53
2002-04-12,1788.99,2692.42,1857.00,109.51
2002-04-19,1887.65,2866.07,1982.07,115.75
2002-04-26,1768.01,2569.70,1902.27,109.55
2002-05-03,1736.04,2533.33,1800.74,107.55
2002-05-10,1659.01,2496.00,1697.27,102.23
2002-05-17,1782.91,2599.91,1842.39,110.36
2002-05-24,1732.13,2462.70,1770.63,107.84
2002-05-31,1616.91,2260.61,1641.14,100.80
2002-06-07,1619.07,2240.69,1655.44,100.37
2002-06-14,1670.61,2360.24,1716.29,103.05
2002-06-21,1574.87,2241.50,1620.98,97.72
2002-06-28,1502.84,2120.25,1567.09,93.69
2002-07-05,1599.70,2237.92,1680.79,99.34
2002-07-12,1613.48,2296.66,1688.53,99.70
2002-07-19,1537.66,2178.78,1606.68,94.90
2002-07-26,1413.89,2051.65,1486.36,87.38
2002-08-02,1420.44,2076.36,1453.39,87.81
2002-08-09,1398.81,2042.12,1425.85,86.60
2002-08-16,1452.62,2113.72,1485.26,90.21
2002-08-23,1504.31,2169.62,1542.66,93.22
2002-08-30,1490.03,2194.06,1522.07,92.55
2002-09-06,1427.24,2150.54,1463.68,88.76
2002-09-13,1446.86,2144.53,1477.55,90.30
2002-09-20,1419.89,2109.20,1480.32,88.41
2002-09-27,1326.60,1963.90,1361.83,83.43
2002-10-04,1299.24,1923.84,1358.53,81.91
2002-10-11,1170.45,1755.64,1209.87,73.86
2002-10-18,1356.58,1985.63,1408.34,84.50
2002-10-25,1325.58,1946.56,1393.14,82.65
2002-11-01,1309.94,1932.81,1382.59,81.65
2002-11-08,1370.25,1977.32,1447.47,85.45
2002-11-15,1362.16,1979.65,1443.31,85.26
2002-11-22,1402.09,2040.08,1495.92,87.97
2002-11-29,1477.77,2153.64,1576.85,92.05
2002-12-06,1461.00,2144.57,1550.32,91.03
2002-12-13,1442.94,2199.69,1509.98,89.81
2002-12-20,1443.88,2184.38,1485.45,90.19
2002-12-27,1334.75,1964.27,1366.82,83.72
2003-01-03,1350.63,1981.90,1403.27,84.15
2003-01-10,1286.34,1879.63,1327.30,79.93
2003-01-17,1301.72,1907.01,1357.24,80.96
2003-01-24,1245.67,1832.17,1279.35,77.54
2003-01-31,1204.98,1800.87,1239.41,75.22
2003-02-07,1174.22,1812.46,1196.78,73.17
2003-02-14,1168.55,1831.68,1194.23,72.86
2003-02-21,1226.26,1896.06,1260.53,76.61
2003-02-28,1164.57,1832.80,1186.07,72.85
2003-03-07,1101.73,1687.98,1110.29,69.33
2003-03-14,1094.11,1582.06,1128.87,68.51
2003-03-21,1175.43,1720.68,1226.88,73.37
2003-03-28,1134.96,1681.34,1174.10,70.77
2003-04-04,1131.94,1747.21,1148.90,70.99
2003-04-11,1178.05,1887.17,1189.11,74.22
2003-04-18,1268.90,1991.42,1304.99,79.67
2003-04-25,1148.59,1804.54,1165.24,72.07
2003-05-02,1213.25,1914.82,1238.87,76.12
2003-05-09,1254.79,1998.20,1283.39,78.90
2003-05-16,1234.46,2019.38,1273.46,77.56
2003-05-23,1240.48,2047.07,1296.84,77.56
2003-05-30,1284.54,2113.87,1344.24,80.53
2003-06-06,1305.16,2132.32,1368.08,81.74
2003-06-13,1357.22,2166.07,1441.59,84.79
2003-06-20,1399.10,2184.75,1496.96,87.55
